"","id","id2","county","gini","margin_error","year"
"1","0500000US41005",41005,"Clackamas",0.418,0.013,2008
"2","0500000US41051",41051,"Multnomah",0.467,0.011,2008
"3","0500000US41067",41067,"Washington",0.412,0.014,2008
"4","0500000US41005",41005,"Clackamas",0.444,0.018,2009
"5","0500000US41051",41051,"Multnomah",0.457,0.011,2009
"6","0500000US41067",41067,"Washington",0.416,0.011,2009
"7","0500000US41005",41005,"Clackamas",0.428,0.011,2010
"8","0500000US41051",41051,"Multnomah",0.479,0.011,2010
"9","0500000US41067",41067,"Washington",0.414,0.012,2010
"10","0500000US41005",41005,"Clackamas",0.4604,0.0203,2011
"11","0500000US41051",41051,"Multnomah",0.4844,0.0159,2011
"12","0500000US41067",41067,"Washington",0.4444,0.0197,2011
"13","0500000US41005",41005,"Clackamas",0.4332,0.0123,2012
"14","0500000US41051",41051,"Multnomah",0.4716,0.011,2012
"15","0500000US41067",41067,"Washington",0.4213,0.0134,2012
"16","0500000US41005",41005,"Clackamas",0.4418,0.0161,2013
"17","0500000US41051",41051,"Multnomah",0.484,0.0103,2013
"18","0500000US41067",41067,"Washington",0.4206,0.0116,2013
"19","0500000US41005",41005,"Clackamas",0.4403,0.0132,2014
"20","0500000US41051",41051,"Multnomah",0.4952,0.0126,2014
"21","0500000US41067",41067,"Washington",0.4323,0.0146,2014
"22","0500000US41005",41005,"Clackamas",0.4466,0.0146,2015
"23","0500000US41051",41051,"Multnomah",0.4746,0.0118,2015
"24","0500000US41067",41067,"Washington",0.4354,0.0121,2015
"25","0500000US41005",41005,"Clackamas",0.4488,0.0176,2016
"26","0500000US41051",41051,"Multnomah",0.4743,0.0104,2016
"27","0500000US41067",41067,"Washington",0.4209,0.0103,2016
