"","origin","destinations","year","n"
"1","AK","pdx",2008,276
"2","AK","pdx",2009,207
"3","AK","pdx",2010,197
"4","AK","pdx",2011,342
"5","AK","pdx",2012,439
"6","AK","pdx",2013,300
"7","AK","pdx",2014,242
"8","AK","pdx",2015,216
"9","AZ","pdx",2008,1115
"10","AZ","pdx",2009,861
"11","AZ","pdx",2010,1032
"12","AZ","pdx",2011,1353
"13","AZ","pdx",2012,1655
"14","AZ","pdx",2013,1430
"15","AZ","pdx",2014,957
"16","AZ","pdx",2015,1261
"17","bay_area","AK",2008,117
"18","bay_area","AK",2009,105
"19","bay_area","AK",2010,148
"20","bay_area","AK",2011,103
"21","bay_area","AK",2012,155
"22","bay_area","AK",2013,37
"23","bay_area","AK",2014,46
"24","bay_area","AK",2015,22
"25","bay_area","AZ",2008,2169
"26","bay_area","AZ",2009,2067
"27","bay_area","AZ",2010,1858
"28","bay_area","AZ",2011,2234
"29","bay_area","AZ",2012,2502
"30","bay_area","AZ",2013,2106
"31","bay_area","AZ",2014,1629
"32","bay_area","AZ",2015,2563
"33","bay_area","bay_area",2008,81647
"34","bay_area","bay_area",2009,85540
"35","bay_area","bay_area",2010,81951
"36","bay_area","bay_area",2011,92605
"37","bay_area","bay_area",2012,94990
"38","bay_area","bay_area",2013,89291
"39","bay_area","bay_area",2014,72204
"40","bay_area","bay_area",2015,96026
"41","bay_area","CA",2008,28859
"42","bay_area","CA",2009,28338
"43","bay_area","CA",2010,27117
"44","bay_area","CA",2011,30592
"45","bay_area","CA",2012,32006
"46","bay_area","CA",2013,31248
"47","bay_area","CA",2014,24986
"48","bay_area","CA",2015,37785
"49","bay_area","CO",2008,1428
"50","bay_area","CO",2009,1362
"51","bay_area","CO",2010,1391
"52","bay_area","CO",2011,1462
"53","bay_area","CO",2012,1599
"54","bay_area","CO",2013,1299
"55","bay_area","CO",2014,873
"56","bay_area","CO",2015,1970
"57","bay_area","CT",2008,311
"58","bay_area","CT",2009,366
"59","bay_area","CT",2010,333
"60","bay_area","CT",2011,385
"61","bay_area","CT",2012,360
"62","bay_area","CT",2013,227
"63","bay_area","CT",2014,115
"64","bay_area","CT",2015,247
"65","bay_area","DC",2008,555
"66","bay_area","DC",2009,662
"67","bay_area","DC",2010,585
"68","bay_area","DC",2011,543
"69","bay_area","DC",2012,567
"70","bay_area","DC",2013,464
"71","bay_area","DC",2014,363
"72","bay_area","DC",2015,576
"73","bay_area","FL",2008,951
"74","bay_area","FL",2009,1148
"75","bay_area","FL",2010,1800
"76","bay_area","FL",2011,1962
"77","bay_area","FL",2012,1879
"78","bay_area","FL",2013,1276
"79","bay_area","FL",2014,804
"80","bay_area","FL",2015,1285
"81","bay_area","GA",2008,643
"82","bay_area","GA",2009,516
"83","bay_area","GA",2010,569
"84","bay_area","GA",2011,860
"85","bay_area","GA",2012,741
"86","bay_area","GA",2013,565
"87","bay_area","GA",2014,359
"88","bay_area","GA",2015,732
"89","bay_area","HI",2008,1053
"90","bay_area","HI",2009,1059
"91","bay_area","HI",2010,1070
"92","bay_area","HI",2011,1101
"93","bay_area","HI",2012,1277
"94","bay_area","HI",2013,1064
"95","bay_area","HI",2014,794
"96","bay_area","HI",2015,1024
"97","bay_area","ID",2008,262
"98","bay_area","ID",2009,269
"99","bay_area","ID",2010,276
"100","bay_area","ID",2011,364
"101","bay_area","ID",2012,353
"102","bay_area","ID",2013,355
"103","bay_area","ID",2014,150
"104","bay_area","ID",2015,622
"105","bay_area","IL",2008,1415
"106","bay_area","IL",2009,1331
"107","bay_area","IL",2010,1304
"108","bay_area","IL",2011,1567
"109","bay_area","IL",2012,1618
"110","bay_area","IL",2013,1302
"111","bay_area","IL",2014,968
"112","bay_area","IL",2015,1526
"113","bay_area","IN",2008,122
"114","bay_area","IN",2009,144
"115","bay_area","IN",2010,61
"116","bay_area","IN",2011,139
"117","bay_area","IN",2012,113
"118","bay_area","IN",2013,71
"119","bay_area","IN",2014,50
"120","bay_area","IN",2015,44
"121","bay_area","KS",2008,118
"122","bay_area","KS",2009,79
"123","bay_area","KS",2010,74
"124","bay_area","KS",2011,112
"125","bay_area","KS",2012,144
"126","bay_area","KS",2013,29
"127","bay_area","KS",2015,53
"128","bay_area","KY",2008,40
"129","bay_area","KY",2009,48
"130","bay_area","KY",2010,102
"131","bay_area","KY",2011,51
"132","bay_area","KY",2012,83
"133","bay_area","KY",2015,49
"134","bay_area","LA",2008,11461
"135","bay_area","LA",2009,11585
"136","bay_area","LA",2010,11988
"137","bay_area","LA",2011,13193
"138","bay_area","LA",2012,13706
"139","bay_area","LA",2013,12874
"140","bay_area","LA",2014,10538
"141","bay_area","LA",2015,14418
"142","bay_area","MA",2008,1440
"143","bay_area","MA",2009,1414
"144","bay_area","MA",2010,1409
"145","bay_area","MA",2011,1450
"146","bay_area","MA",2012,1604
"147","bay_area","MA",2013,1159
"148","bay_area","MA",2014,796
"149","bay_area","MA",2015,1381
"150","bay_area","MD",2008,521
"151","bay_area","MD",2009,607
"152","bay_area","MD",2010,626
"153","bay_area","MD",2011,636
"154","bay_area","MD",2012,599
"155","bay_area","MD",2013,375
"156","bay_area","MD",2014,245
"157","bay_area","MD",2015,423
"158","bay_area","ME",2008,36
"159","bay_area","ME",2009,51
"160","bay_area","ME",2010,51
"161","bay_area","ME",2011,41
"162","bay_area","ME",2012,60
"163","bay_area","ME",2015,42
"164","bay_area","MI",2008,307
"165","bay_area","MI",2009,385
"166","bay_area","MI",2010,474
"167","bay_area","MI",2011,534
"168","bay_area","MI",2012,481
"169","bay_area","MI",2013,372
"170","bay_area","MI",2014,196
"171","bay_area","MI",2015,400
"172","bay_area","MN",2008,295
"173","bay_area","MN",2009,321
"174","bay_area","MN",2010,366
"175","bay_area","MN",2011,403
"176","bay_area","MN",2012,371
"177","bay_area","MN",2013,361
"178","bay_area","MN",2014,169
"179","bay_area","MN",2015,378
"180","bay_area","MO",2008,203
"181","bay_area","MO",2009,189
"182","bay_area","MO",2010,157
"183","bay_area","MO",2011,251
"184","bay_area","MO",2012,289
"185","bay_area","MO",2013,142
"186","bay_area","MO",2014,43
"187","bay_area","MO",2015,145
"188","bay_area","NC",2008,600
"189","bay_area","NC",2009,665
"190","bay_area","NC",2010,769
"191","bay_area","NC",2011,671
"192","bay_area","NC",2012,907
"193","bay_area","NC",2013,627
"194","bay_area","NC",2014,279
"195","bay_area","NC",2015,744
"196","bay_area","NE",2008,54
"197","bay_area","NE",2009,69
"198","bay_area","NE",2010,51
"199","bay_area","NE",2011,54
"200","bay_area","NE",2012,70
"201","bay_area","NE",2014,27
"202","bay_area","NE",2015,50
"203","bay_area","NH",2008,41
"204","bay_area","NH",2009,41
"205","bay_area","NH",2010,34
