"","y1_statefips","y1_countyfips","y2_statefips","y2_countyfips","y2_state","y2_countyname","n1","n2","agi","origin_area","dest_area"
"1","06","001","06","013","CA","Contra Costa County",6644,13241,447682,"bay_area","bay_area"
"2","06","001","06","085","CA","Santa Clara County",3529,6500,231182,"bay_area","bay_area"
"3","06","001","06","075","CA","San Francisco County",3304,4420,175019,"bay_area","bay_area"
"4","06","001","06","077","CA","San Joaquin County",2159,5188,111318,"bay_area","CA"
"5","06","001","06","081","CA","San Mateo County",1964,3762,113153,"bay_area","bay_area"
"6","06","001","06","037","CA","Los Angeles County",1463,2232,67138,"bay_area","LA"
"7","06","001","06","067","CA","Sacramento County",996,1858,41868,"bay_area","CA"
"8","06","001","06","095","CA","Solano County",725,1404,32030,"bay_area","bay_area"
"9","06","001","06","099","CA","Stanislaus County",666,1565,27388,"bay_area","CA"
"10","06","001","06","073","CA","San Diego County",652,1033,32708,"bay_area","CA"
"11","06","001","06","059","CA","Orange County",468,815,28802,"bay_area","LA"
"12","06","001","06","041","CA","Marin County",400,674,34170,"bay_area","bay_area"
"13","06","001","53","033","WA","King County",391,635,27181,"bay_area","puget_sound"
"14","06","001","06","097","CA","Sonoma County",351,553,20959,"bay_area","bay_area"
"15","06","001","32","003","NV","Clark County",337,609,13982,"bay_area","NV"
"16","06","001","04","013","AZ","Maricopa County",321,623,21450,"bay_area","AZ"
"17","06","001","36","061","NY","New York County",273,309,18411,"bay_area","NY"
"18","06","001","06","061","CA","Placer County",232,452,17387,"bay_area","CA"
"19","06","001","17","031","IL","Cook County",216,342,12912,"bay_area","IL"
"20","06","001","06","019","CA","Fresno County",206,384,9376,"bay_area","CA"
"21","06","001","48","201","TX","Harris County",202,353,11657,"bay_area","TX"
"22","06","001","06","113","CA","Yolo County",197,323,8213,"bay_area","CA"
"23","06","001","06","087","CA","Santa Cruz County",193,292,11199,"bay_area","bay_area"
"24","06","001","41","051","OR","Multnomah County",190,293,10119,"bay_area","pdx"
"25","06","001","06","065","CA","Riverside County",186,334,9534,"bay_area","LA"
"26","06","001","36","047","NY","Kings County",182,220,5965,"bay_area","NY"
"27","06","001","32","031","NV","Washoe County",162,269,12233,"bay_area","NV"
"28","06","001","11","001","DC","District of Columbia",155,187,8204,"bay_area","DC"
"29","06","001","06","053","CA","Monterey County",153,266,7496,"bay_area","CA"
"30","06","001","15","003","HI","Honolulu County",151,262,7029,"bay_area","HI"
"31","06","001","25","017","MA","Middlesex County",148,208,9265,"bay_area","MA"
"32","06","001","06","071","CA","San Bernardino County",147,252,5717,"bay_area","LA"
"33","06","001","06","047","CA","Merced County",126,275,4282,"bay_area","CA"
"34","06","001","41","067","OR","Washington County",126,243,9904,"bay_area","pdx"
"35","06","001","06","055","CA","Napa County",121,216,8491,"bay_area","bay_area"
"36","06","001","48","453","TX","Travis County",119,216,6746,"bay_area","TX"
"37","06","001","06","017","CA","El Dorado County",117,218,6992,"bay_area","CA"
"38","06","001","06","083","CA","Santa Barbara County",114,176,4966,"bay_area","CA"
"39","06","001","48","113","TX","Dallas County",105,195,4847,"bay_area","TX"
"40","06","001","06","007","CA","Butte County",99,162,5530,"bay_area","CA"
"41","06","001","06","111","CA","Ventura County",96,171,5636,"bay_area","LA"
"42","06","001","06","079","CA","San Luis Obispo County",95,135,4556,"bay_area","CA"
"43","06","001","06","057","CA","Nevada County",81,110,5611,"bay_area","CA"
"44","06","001","49","035","UT","Salt Lake County",81,170,3503,"bay_area","UT"
"45","06","001","48","029","TX","Bexar County",79,152,4084,"bay_area","TX"
"46","06","001","13","121","GA","Fulton County",77,139,4718,"bay_area","GA"
"47","06","001","25","025","MA","Suffolk County",77,92,3511,"bay_area","MA"
"48","06","001","06","029","CA","Kern County",76,178,3728,"bay_area","CA"
"49","06","001","53","053","WA","Pierce County",75,145,3949,"bay_area","puget_sound"
"50","06","001","36","081","NY","Queens County",67,104,2027,"bay_area","NY"
"51","06","001","06","089","CA","Shasta County",66,114,3523,"bay_area","CA"
"52","06","001","42","101","PA","Philadelphia County",66,84,2509,"bay_area","PA"
"53","06","001","08","031","CO","Denver County",65,103,4147,"bay_area","CO"
"54","06","001","51","059","VA","Fairfax County",65,110,4164,"bay_area","VA"
"55","06","001","06","023","CA","Humboldt County",63,87,2569,"bay_area","CA"
"56","06","001","35","001","NM","Bernalillo County",63,108,3627,"bay_area","NM"
"57","06","001","24","031","MD","Montgomery County",62,102,5150,"bay_area","MD"
"58","06","001","48","085","TX","Collin County",61,153,5207,"bay_area","TX"
"59","06","001","48","439","TX","Tarrant County",61,130,3949,"bay_area","TX"
"60","06","001","06","109","CA","Tuolumne County",60,94,2921,"bay_area","CA"
"61","06","001","06","009","CA","Calaveras County",58,87,3187,"bay_area","CA"
"62","06","001","06","045","CA","Mendocino County",58,90,2303,"bay_area","CA"
"63","06","001","04","019","AZ","Pima County",55,90,2637,"bay_area","AZ"
"64","06","001","06","107","CA","Tulare County",54,118,2029,"bay_area","CA"
"65","06","001","13","089","GA","Dekalb County",53,103,2254,"bay_area","GA"
"66","06","001","53","061","WA","Snohomish County",53,102,3456,"bay_area","puget_sound"
"67","06","001","53","011","WA","Clark County",52,100,2693,"bay_area","pdx"
"68","06","001","08","013","CO","Boulder County",51,93,2973,"bay_area","CO"
"69","06","001","06","033","CA","Lake County",50,83,2150,"bay_area","CA"
"70","06","001","42","003","PA","Allegheny County",49,79,3054,"bay_area","PA"
"71","06","001","25","021","MA","Norfolk County",48,85,4609,"bay_area","MA"
"72","06","001","27","053","MN","Hennepin County",48,80,3052,"bay_area","MN"
"73","06","001","37","183","NC","Wake County",48,121,5525,"bay_area","NC"
"74","06","001","08","005","CO","Arapahoe County",47,83,3837,"bay_area","CO"
"75","06","001","34","017","NJ","Hudson County",47,62,2972,"bay_area","NJ"
"76","06","001","41","039","OR","Lane County",47,70,2221,"bay_area","OR"
"77","06","001","41","029","OR","Jackson County",46,85,3253,"bay_area","OR"
"78","06","001","19","163","IA","Scott County",45,89,2581,"bay_area","IA"
"79","06","001","51","013","VA","Arlington County",45,62,1884,"bay_area","VA"
"80","06","001","48","141","TX","El Paso County",43,84,1978,"bay_area","TX"
"81","06","001","39","049","OH","Franklin County",41,71,2413,"bay_area","OH"
"82","06","001","37","119","NC","Mecklenburg County",40,63,3655,"bay_area","NC"
"83","06","001","06","039","CA","Madera County",39,85,1064,"bay_area","CA"
"84","06","001","12","011","FL","Broward County",39,67,2420,"bay_area","FL"
"85","06","001","12","086","FL","Miami Dade County",38,63,1682,"bay_area","FL"
"86","06","001","34","023","NJ","Middlesex County",38,79,2687,"bay_area","NJ"
"87","06","001","49","049","UT","Utah County",38,103,2108,"bay_area","UT"
"88","06","001","06","115","CA","Yuba County",37,68,1713,"bay_area","CA"
"89","06","001","08","041","CO","El Paso County",36,77,2204,"bay_area","CO"
"90","06","001","47","037","TN","Davidson County",36,55,8499,"bay_area","TN"
"91","06","001","48","491","TX","Williamson County",36,90,3004,"bay_area","TX"
"92","06","001","16","001","ID","Ada County",35,78,1995,"bay_area","ID"
"93","06","001","17","043","IL","Dupage County",35,65,2792,"bay_area","IL"
"94","06","001","13","067","GA","Cobb County",34,61,1784,"bay_area","GA"
"95","06","001","55","025","WI","Dane County",34,47,1480,"bay_area","WI"
"96","06","001","34","003","NJ","Bergen County",33,54,3046,"bay_area","NJ"
"97","06","001","26","161","MI","Washtenaw County",32,45,2012,"bay_area","MI"
"98","06","001","48","121","TX","Denton County",32,58,1687,"bay_area","TX"
