"","State_Code_Dest","County_Code_Dest","State_Code_Origin","County_Code_Origin","State_Abbrv","County_Name","Return_Num","Exmpt_Num","Aggr_AGI","area"
"1","41","005","96","000","OR","Clackamas Count Tot Mig-US & For",10915,20311,521833,"oregon"
"2","41","005","97","000","OR","Clackamas Count Tot Mig-US",10845,20174,516629,"oregon"
"3","41","005","97","001","OR","Clackamas Count Tot Mig-Same St",7408,13598,329134,"oregon"
"4","41","005","97","003","OR","Clackamas Count Tot Mig-Diff St",3437,6576,187495,"oregon"
"5","41","005","41","051","OR","Multnomah County",3909,7278,167892,"pdx"
"6","41","005","41","067","OR","Washington County",1597,2837,82719,"pdx"
"7","41","005","41","047","OR","Marion County",565,1160,21811,"oregon"
"8","41","005","53","011","WA","Clark County",406,741,16959,"pdx"
"9","41","005","41","039","OR","Lane County",189,324,7517,"oregon"
"10","41","005","41","017","OR","Deschutes County",152,259,6895,"oregon"
"11","41","005","53","033","WA","King County",141,245,8296,"puget_sound"
"12","41","005","06","037","CA","Los Angeles County",134,242,7330,"LA"
"13","41","005","41","071","OR","Yamhill County",127,235,4488,"oregon"
"14","41","005","41","003","OR","Benton County",121,180,4736,"oregon"
"15","41","005","04","013","AZ","Maricopa County",96,186,4501,"AZ"
"16","41","005","06","073","CA","San Diego County",96,174,5234,"CA"
"17","41","005","41","053","OR","Polk County",96,190,4793,"oregon"
"18","41","005","41","029","OR","Jackson County",86,153,3126,"oregon"
"19","41","005","41","043","OR","Linn County",86,161,7065,"oregon"
"20","41","005","32","003","NV","Clark County",67,141,3151,"NV"
"21","41","005","06","085","CA","Santa Clara County",65,165,6055,"bay_area"
"22","41","005","53","053","WA","Pierce County",58,117,2802,"puget_sound"
"23","41","005","06","059","CA","Orange County",57,124,5226,"LA"
"24","41","005","41","009","OR","Columbia County",55,113,2208,"oregon"
"25","41","005","41","041","OR","Lincoln County",51,77,1718,"oregon"
"26","41","005","41","019","OR","Douglas County",44,81,1670,"oregon"
"27","41","005","41","007","OR","Clatsop County",42,73,1689,"oregon"
"28","41","005","53","061","WA","Snohomish County",42,68,1813,"puget_sound"
"29","41","005","06","067","CA","Sacramento County",41,79,1670,"CA"
"30","41","005","06","013","CA","Contra Costa County",38,83,2197,"bay_area"
"31","41","005","06","065","CA","Riverside County",36,60,1864,"LA"
"32","41","005","41","057","OR","Tillamook County",35,46,1603,"oregon"
"33","41","005","53","063","WA","Spokane County",35,74,1498,"WA"
"34","41","005","16","001","ID","Ada County",34,69,1913,"ID"
"35","41","005","41","065","OR","Wasco County",34,51,1189,"oregon"
"36","41","005","15","003","HI","Honolulu County",33,58,1964,"HI"
"37","41","005","41","059","OR","Umatilla County",33,48,676,"oregon"
"38","41","005","32","031","NV","Washoe County",32,63,1556,"NV"
"39","41","005","49","035","UT","Salt Lake County",32,75,1777,"UT"
"40","41","005","04","019","AZ","Pima County",29,55,1712,"AZ"
"41","41","005","02","020","AK","Anchorage Municipality",28,46,1160,"AK"
"42","41","005","06","071","CA","San Bernardino County",28,55,1404,"LA"
"43","41","005","06","001","CA","Alameda County",27,52,2568,"bay_area"
"44","41","005","41","033","OR","Josephine County",27,43,835,"oregon"
"45","41","005","41","035","OR","Klamath County",26,46,1352,"oregon"
"46","41","005","17","031","IL","Cook County",25,37,1016,"IL"
"47","41","005","53","015","WA","Cowlitz County",25,48,1145,"WA"
