"","y2_statefips","y2_countyfips","y1_statefips","y1_countyfips","y1_state","y1_countyname","n1","n2","agi","area"
"1","41","005","41","051","OR","Multnomah County",4492,8161,326840,"pdx"
"2","41","005","41","067","OR","Washington County",1945,3572,111019,"pdx"
"3","41","005","41","047","OR","Marion County",622,1305,27941,"oregon"
"4","41","005","53","011","WA","Clark County",574,1090,38021,"pdx"
"5","41","005","41","039","OR","Lane County",212,344,6986,"oregon"
"6","41","005","53","033","WA","King County",164,296,10207,"puget_sound"
"7","41","005","41","071","OR","Yamhill County",162,303,9058,"oregon"
"8","41","005","41","017","OR","Deschutes County",158,292,7099,"oregon"
"9","41","005","06","037","CA","Los Angeles County",156,284,11225,"LA"
"10","41","005","04","013","AZ","Maricopa County",124,246,7978,"AZ"
"11","41","005","06","073","CA","San Diego County",103,233,6049,"CA"
"12","41","005","41","029","OR","Jackson County",102,187,3777,"oregon"
"13","41","005","41","003","OR","Benton County",101,140,3141,"oregon"
"14","41","005","41","053","OR","Polk County",83,166,3109,"oregon"
"15","41","005","32","003","NV","Clark County",81,151,5025,"NV"
"16","41","005","41","043","OR","Linn County",77,141,2273,"oregon"
"17","41","005","06","059","CA","Orange County",76,148,4985,"LA"
"18","41","005","53","053","WA","Pierce County",76,147,7833,"puget_sound"
"19","41","005","41","009","OR","Columbia County",69,139,3251,"oregon"
"20","41","005","41","041","OR","Lincoln County",53,82,1307,"oregon"
"21","41","005","06","065","CA","Riverside County",52,94,3877,"LA"
"22","41","005","53","061","WA","Snohomish County",50,107,3400,"puget_sound"
"23","41","005","53","063","WA","Spokane County",47,82,2046,"WA"
"24","41","005","06","085","CA","Santa Clara County",46,90,4335,"bay_area"
"25","41","005","41","007","OR","Clatsop County",45,65,1495,"oregon"
"26","41","005","16","001","ID","Ada County",44,83,2116,"ID"
"27","41","005","49","035","UT","Salt Lake County",44,96,2168,"UT"
"28","41","005","41","057","OR","Tillamook County",43,74,1716,"oregon"
"29","41","005","41","019","OR","Douglas County",42,80,1330,"oregon"
"30","41","005","06","001","CA","Alameda County",40,75,3010,"bay_area"
"31","41","005","06","071","CA","San Bernardino County",36,70,2044,"LA"
"32","41","005","32","031","NV","Washoe County",36,67,1885,"NV"
"33","41","005","41","011","OR","Coos County",36,63,1703,"oregon"
"34","41","005","53","067","WA","Thurston County",36,63,1891,"puget_sound"
"35","41","005","15","003","HI","Honolulu County",35,63,2358,"HI"
"36","41","005","53","015","WA","Cowlitz County",35,73,1935,"WA"
"37","41","005","02","020","AK","Anchorage Municipality",29,48,1939,"AK"
"38","41","005","41","035","OR","Klamath County",29,51,1358,"oregon"
"39","41","005","41","059","OR","Umatilla County",29,50,1039,"oregon"
"40","41","005","41","065","OR","Wasco County",29,54,1199,"oregon"
"41","41","005","06","013","CA","Contra Costa County",28,56,1888,"bay_area"
"42","41","005","06","067","CA","Sacramento County",28,37,1082,"CA"
"43","41","005","41","027","OR","Hood River County",28,50,1424,"oregon"
"44","41","005","04","019","AZ","Pima County",27,48,1484,"AZ"
"45","41","005","41","061","OR","Union County",26,51,972,"oregon"
"46","41","005","48","453","TX","Travis County",26,48,2040,"TX"
"47","41","005","06","081","CA","San Mateo County",25,42,1723,"bay_area"
"48","41","005","06","083","CA","Santa Barbara County",24,32,2829,"CA"
"49","41","005","08","041","CO","El Paso County",24,49,978,"CO"
"50","41","005","41","033","OR","Josephine County",23,41,642,"oregon"
"51","41","005","48","201","TX","Harris County",23,49,2020,"TX"
"52","41","005","12","086","FL","Miami-Dade County",22,42,4453,"FL"
"53","41","005","53","005","WA","Benton County",22,37,766,"WA"
"54","41","005","17","031","IL","Cook County",21,37,1113,"IL"
"55","41","005","25","017","MA","Middlesex County",21,41,1525,"MA"
"56","41","005","53","077","WA","Yakima County",21,44,809,"WA"
"57","41","005","06","075","CA","San Francisco County",20,31,1388,"bay_area"
"58","41","005","08","005","CO","Arapahoe County",20,41,1020,"CO"
"59","41","005","41","031","OR","Jefferson County",19,35,637,"oregon"
"60","41","005","48","439","TX","Tarrant County",19,38,1070,"TX"
"61","41","005","06","077","CA","San Joaquin County",18,32,1169,"CA"
"62","41","005","49","049","UT","Utah County",18,57,3371,"UT"
"63","41","005","53","073","WA","Whatcom County",18,45,809,"WA"
"64","41","005","06","019","CA","Fresno County",17,36,772,"CA"
"65","41","005","08","059","CO","Jefferson County",17,31,3236,"CO"
"66","41","005","12","011","FL","Broward County",17,31,834,"FL"
"67","41","005","16","055","ID","Kootenai County",17,33,775,"ID"
"68","41","005","27","053","MN","Hennepin County",17,30,1201,"MN"
"69","41","005","06","097","CA","Sonoma County",16,28,1017,"bay_area"
"70","41","005","06","111","CA","Ventura County",16,26,1489,"LA"
"71","41","005","08","001","CO","Adams County",16,45,1077,"CO"
"72","41","005","16","027","ID","Canyon County",16,25,505,"ID"
"73","41","005","48","029","TX","Bexar County",16,34,973,"TX"
"74","41","005","48","113","TX","Dallas County",16,33,1073,"TX"
"75","41","005","53","035","WA","Kitsap County",16,32,545,"puget_sound"
"76","41","005","06","041","CA","Marin County",15,28,1952,"bay_area"
"77","41","005","12","057","FL","Hillsborough County",15,19,377,"FL"
"78","41","005","29","189","MO","St. Louis County",15,31,860,"MO"
"79","41","005","41","013","OR","Crook County",15,28,658,"oregon"
"80","41","005","06","061","CA","Placer County",14,23,673,"CA"
"81","41","005","06","079","CA","San Luis Obispo County",14,25,613,"CA"
"82","41","005","30","063","MT","Missoula County",14,19,650,"MT"
"83","41","005","48","141","TX","El Paso County",14,31,738,"TX"
"84","41","005","49","011","UT","Davis County",14,23,463,"UT"
"85","41","005","53","041","WA","Lewis County",14,27,361,"WA"
"86","41","005","30","111","MT","Yellowstone County",13,28,655,"MT"
"87","41","005","35","001","NM","Bernalillo County",13,26,894,"NM"
"88","41","005","06","007","CA","Butte County",12,23,476,"CA"
"89","41","005","06","053","CA","Monterey County",12,21,743,"CA"
"90","41","005","08","013","CO","Boulder County",12,22,581,"CO"
"91","41","005","36","047","NY","Kings County",12,19,1076,"NY"
"92","41","005","41","001","OR","Baker County",12,22,720,"oregon"
"93","41","005","41","015","OR","Curry County",12,31,500,"oregon"
"94","41","005","53","007","WA","Chelan County",12,18,465,"WA"
