"","origin_area","dest_area","year","n"
"1","bay_area","bay_area","1516",96026
"2","puget_sound_area","puget_sound","1516",51644
"3","bay_area","CA","1516",37785
"4","bay_area","LA","1516",14418
"5","puget_sound_area","WA","1516",10591
"6","bay_area","TX","1516",4874
"7","bay_area","puget_sound","1516",4404
"8","puget_sound_area","LA","1516",3969
"9","bay_area","NY","1516",3924
"10","bay_area","NV","1516",3517
"11","bay_area","pdx","1516",3189
"12","puget_sound_area","bay_area","1516",3175
"13","puget_sound_area","pdx","1516",2969
"14","puget_sound_area","AZ","1516",2898
"15","puget_sound_area","TX","1516",2810
"16","bay_area","AZ","1516",2563
"17","puget_sound_area","CA","1516",2415
"18","bay_area","OR","1516",1973
"19","bay_area","CO","1516",1970
"20","puget_sound_area","OR","1516",1597
"21","bay_area","IL","1516",1526
"22","bay_area","MA","1516",1381
"23","bay_area","FL","1516",1285
"24","puget_sound_area","HI","1516",1265
"25","puget_sound_area","FL","1516",1228
"26","puget_sound_area","CO","1516",1199
"27","puget_sound_area","NY","1516",1106
"28","puget_sound_area","NV","1516",1082
"29","bay_area","HI","1516",1024
"30","puget_sound_area","ID","1516",894
"31","puget_sound_area","UT","1516",768
"32","bay_area","NC","1516",744
"33","puget_sound_area","NC","1516",738
"34","bay_area","GA","1516",732
"35","bay_area","UT","1516",724
"36","puget_sound_area","IL","1516",717
"37","puget_sound_area","GA","1516",691
"38","puget_sound_area","VA","1516",674
"39","bay_area","ID","1516",622
"40","bay_area","PA","1516",616
"41","bay_area","DC","1516",576
"42","puget_sound_area","AK","1516",536
"43","puget_sound_area","MA","1516",487
"44","bay_area","VA","1516",436
"45","bay_area","MD","1516",423
"46","puget_sound_area","MT","1516",417
"47","bay_area","MI","1516",400
"48","puget_sound_area","MD","1516",387
"49","bay_area","NJ","1516",383
"50","bay_area","MN","1516",378
"51","bay_area","OH","1516",346
"52","puget_sound_area","MN","1516",323
"53","puget_sound_area","TN","1516",277
"54","bay_area","WA","1516",271
"55","puget_sound_area","MI","1516",255
"56","puget_sound_area","OK","1516",255
"57","puget_sound_area","PA","1516",255
"58","puget_sound_area","MO","1516",254
"59","puget_sound_area","SC","1516",254
"60","bay_area","CT","1516",247
"61","puget_sound_area","NJ","1516",243
"62","bay_area","TN","1516",230
"63","puget_sound_area","OH","1516",210
"64","puget_sound_area","DC","1516",205
"65","puget_sound_area","KS","1516",187
"66","bay_area","NM","1516",184
"67","bay_area","WI","1516",176
"68","puget_sound_area","CT","1516",166
"69","puget_sound_area","WI","1516",153
"70","puget_sound_area","NM","1516",147
"71","bay_area","MO","1516",145
"72","puget_sound_area","KY","1516",118
"73","puget_sound_area","IN","1516",71
"74","bay_area","KS","1516",53
"75","bay_area","NE","1516",50
"76","bay_area","KY","1516",49
"77","bay_area","OK","1516",49
"78","puget_sound_area","AL","1516",48
"79","bay_area","IN","1516",44
"80","bay_area","ME","1516",42
"81","puget_sound_area","NE","1516",42
"82","puget_sound_area","ME","1516",33
"83","puget_sound_area","IA","1516",32
