"","y1_statefips","y1_countyfips","y2_statefips","y2_countyfips","y2_state","y2_countyname","n1","n2","agi","origin_area","dest_area"
"1","41","005","41","051","OR","Multnomah County",3953,6647,179219,"pdx","pdx"
"2","41","005","41","067","OR","Washington County",1915,3236,100172,"pdx","pdx"
"3","41","005","53","011","WA","Clark County",709,1392,44043,"pdx","pdx"
"4","41","005","41","047","OR","Marion County",652,1351,27312,"pdx","pdx"
"5","41","005","41","017","OR","Deschutes County",230,453,17076,"pdx","pdx"
"6","41","005","53","033","WA","King County",205,359,14359,"pdx","puget_sound_area"
"7","41","005","41","071","OR","Yamhill County",174,326,10627,"pdx","pdx"
"8","41","005","04","013","AZ","Maricopa County",163,345,14975,"pdx","pdx"
"9","41","005","41","039","OR","Lane County",142,248,5387,"pdx","pdx"
"10","41","005","06","037","CA","Los Angeles County",107,180,6795,"pdx","pdx"
"11","41","005","06","073","CA","San Diego County",94,154,5651,"pdx","pdx"
"12","41","005","41","053","OR","Polk County",79,146,3499,"pdx","pdx"
"13","41","005","41","029","OR","Jackson County",74,144,3128,"pdx","pdx"
"14","41","005","41","003","OR","Benton County",70,101,1881,"pdx","pdx"
"15","41","005","41","043","OR","Linn County",70,129,2327,"pdx","pdx"
"16","41","005","06","059","CA","Orange County",69,148,3571,"pdx","pdx"
"17","41","005","41","009","OR","Columbia County",69,146,2205,"pdx","pdx"
"18","41","005","53","053","WA","Pierce County",69,120,5207,"pdx","puget_sound_area"
"19","41","005","32","003","NV","Clark County",65,107,2714,"pdx","pdx"
"20","41","005","41","041","OR","Lincoln County",59,115,3330,"pdx","pdx"
"21","41","005","41","057","OR","Tillamook County",55,87,3387,"pdx","pdx"
"22","41","005","06","065","CA","Riverside County",50,104,2890,"pdx","pdx"
"23","41","005","16","001","ID","Ada County",50,112,3642,"pdx","pdx"
"24","41","005","41","013","OR","Crook County",50,96,6132,"pdx","pdx"
"25","41","005","53","061","WA","Snohomish County",47,98,2201,"pdx","puget_sound_area"
"26","41","005","53","063","WA","Spokane County",46,78,7425,"pdx","pdx"
"27","41","005","41","019","OR","Douglas County",45,101,2065,"pdx","pdx"
"28","41","005","49","035","UT","Salt Lake County",42,74,2528,"pdx","pdx"
"29","41","005","06","085","CA","Santa Clara County",41,83,3120,"pdx","bay_area"
