"","county","total_pop","job","n_county","prop_county","job_class","job_type","n_county_type","prop_county_type","n_county_class","prop_county_class","year"
"1","King ",1172234," Management occupations:",169495,0.144591438228204,"white_collar","business",283665,0.241986668190822,661511,0.564316510184827,2016
"2","Kitsap ",113904," Management occupations:",11528,0.101208034836353,"white_collar","business",20586,0.180731142014328,50112,0.439949431099874,2016
"3","Pierce ",392703," Management occupations:",35086,0.0893448738614169,"white_collar","business",66937,0.170451970063891,153447,0.390745678031489,2016
"4","Snohomish ",402023," Management occupations:",45099,0.112180148896954,"white_collar","business",83335,0.207289135198732,182799,0.454697865545006,2016
"5","Thurston ",122393," Management occupations:",13308,0.108731708512742,"white_collar","business",27738,0.226630607959606,60869,0.497324193377072,2016
"6","King ",1172234," Business and financial operations occupations:",80479,0.0686543812924723,"white_collar","business",283665,0.241986668190822,661511,0.564316510184827,2016
"7","Kitsap ",113904," Business and financial operations occupations:",5932,0.052078943671864,"white_collar","business",20586,0.180731142014328,50112,0.439949431099874,2016
"8","Pierce ",392703," Business and financial operations occupations:",16329,0.0415810421616336,"white_collar","business",66937,0.170451970063891,153447,0.390745678031489,2016
"9","Snohomish ",402023," Business and financial operations occupations:",22426,0.0557828780940394,"white_collar","business",83335,0.207289135198732,182799,0.454697865545006,2016
"10","Thurston ",122393," Business and financial operations occupations:",8532,0.0697098690284575,"white_collar","business",27738,0.226630607959606,60869,0.497324193377072,2016
"11","King ",1172234," Computer and mathematical occupations:",102573,0.0875021540067939,"white_collar","tech",146067,0.124605667469123,661511,0.564316510184827,2016
"12","Kitsap ",113904," Computer and mathematical occupations:",2991,0.0262589549093974,"white_collar","tech",7700,0.0676007866273353,50112,0.439949431099874,2016
"13","Pierce ",392703," Computer and mathematical occupations:",8368,0.0213087244049574,"white_collar","tech",13742,0.0349933664881603,153447,0.390745678031489,2016
"14","Snohomish ",402023," Computer and mathematical occupations:",15970,0.0397240953875773,"white_collar","tech",32576,0.0810301898150106,182799,0.454697865545006,2016
"15","Thurston ",122393," Computer and mathematical occupations:",4271,0.0348957865237391,"white_collar","tech",6657,0.0543903654620771,60869,0.497324193377072,2016
"16","King ",1172234," Architecture and engineering occupations:",43494,0.0371035134623292,"white_collar","tech",146067,0.124605667469123,661511,0.564316510184827,2016
"17","Kitsap ",113904," Architecture and engineering occupations:",4709,0.0413418317179379,"white_collar","tech",7700,0.0676007866273353,50112,0.439949431099874,2016
"18","Pierce ",392703," Architecture and engineering occupations:",5374,0.0136846420832028,"white_collar","tech",13742,0.0349933664881603,153447,0.390745678031489,2016
"19","Snohomish ",402023," Architecture and engineering occupations:",16606,0.0413060944274333,"white_collar","tech",32576,0.0810301898150106,182799,0.454697865545006,2016
"20","Thurston ",122393," Architecture and engineering occupations:",2386,0.019494578938338,"white_collar","tech",6657,0.0543903654620771,60869,0.497324193377072,2016
"21","King ",1172234," Life, physical, and social science occupations:",15529,0.0132473550502715,"white_collar","production",195798,0.167029790980299,661511,0.564316510184827,2016
"22","Kitsap ",113904," Life, physical, and social science occupations:",1394,0.0122383761764293,"white_collar","production",18273,0.160424568057311,50112,0.439949431099874,2016
"23","Pierce ",392703," Life, physical, and social science occupations:",2786,0.00709441995604821,"white_collar","production",62143,0.158244271115831,153447,0.390745678031489,2016
"24","Snohomish ",402023," Life, physical, and social science occupations:",2669,0.00663892364367213,"white_collar","production",60375,0.150177974891984,182799,0.454697865545006,2016
"25","Thurston ",122393," Life, physical, and social science occupations:",1609,0.0131461766604299,"white_collar","production",20088,0.164127033408773,60869,0.497324193377072,2016
"26","King ",1172234," Community and social service occupations:",16785,0.01431881347922,"white_collar","production",195798,0.167029790980299,661511,0.564316510184827,2016
"27","Kitsap ",113904," Community and social service occupations:",1758,0.0154340497260851,"white_collar","production",18273,0.160424568057311,50112,0.439949431099874,2016
"28","Pierce ",392703," Community and social service occupations:",7013,0.017858279666822,"white_collar","production",62143,0.158244271115831,153447,0.390745678031489,2016
"29","Snohomish ",402023," Community and social service occupations:",4944,0.0122978038569933,"white_collar","production",60375,0.150177974891984,182799,0.454697865545006,2016
"30","Thurston ",122393," Community and social service occupations:",2810,0.0229588293448155,"white_collar","production",20088,0.164127033408773,60869,0.497324193377072,2016
"31","King ",1172234," Legal occupations:",18329,0.0156359566434688,"white_collar","production",195798,0.167029790980299,661511,0.564316510184827,2016
"32","Kitsap ",113904," Legal occupations:",1380,0.0121154656552887,"white_collar","production",18273,0.160424568057311,50112,0.439949431099874,2016
"33","Pierce ",392703," Legal occupations:",3531,0.00899152794860238,"white_collar","production",62143,0.158244271115831,153447,0.390745678031489,2016
"34","Snohomish ",402023," Legal occupations:",3489,0.00867860794034172,"white_collar","production",60375,0.150177974891984,182799,0.454697865545006,2016
"35","Thurston ",122393," Legal occupations:",2045,0.0167084718897323,"white_collar","production",20088,0.164127033408773,60869,0.497324193377072,2016
"36","King ",1172234," Education, training, and library occupations:",62033,0.0529186152252878,"white_collar","production",195798,0.167029790980299,661511,0.564316510184827,2016
"37","Kitsap ",113904," Education, training, and library occupations:",6209,0.0545108161258604,"white_collar","production",18273,0.160424568057311,50112,0.439949431099874,2016
"38","Pierce ",392703," Education, training, and library occupations:",21885,0.0557291388148295,"white_collar","production",62143,0.158244271115831,153447,0.390745678031489,2016
"39","Snohomish ",402023," Education, training, and library occupations:",19341,0.0481091877827885,"white_collar","production",60375,0.150177974891984,182799,0.454697865545006,2016
"40","Thurston ",122393," Education, training, and library occupations:",7795,0.0636882828266322,"white_collar","production",20088,0.164127033408773,60869,0.497324193377072,2016
"41","King ",1172234," Arts, design, entertainment, sports, and media occupations:",37732,0.0321881126123283,"white_collar","production",195798,0.167029790980299,661511,0.564316510184827,2016
"42","Kitsap ",113904," Arts, design, entertainment, sports, and media occupations:",2384,0.0209299058856581,"white_collar","production",18273,0.160424568057311,50112,0.439949431099874,2016
"43","Pierce ",392703," Arts, design, entertainment, sports, and media occupations:",5666,0.0144282065581368,"white_collar","production",62143,0.158244271115831,153447,0.390745678031489,2016
"44","Snohomish ",402023," Arts, design, entertainment, sports, and media occupations:",7076,0.0176009830283342,"white_collar","production",60375,0.150177974891984,182799,0.454697865545006,2016
"45","Thurston ",122393," Arts, design, entertainment, sports, and media occupations:",2071,0.0169209023391861,"white_collar","production",20088,0.164127033408773,60869,0.497324193377072,2016
"46","King ",1172234," Health diagnosing and treating practitioners and other technical occupations:",48853,0.0416751262973092,"white_collar","healthcare",81371,0.0694153215143052,661511,0.564316510184827,2016
"47","Kitsap ",113904," Health diagnosing and treating practitioners and other technical occupations:",3250,0.0285327995504987,"white_collar","healthcare",8701,0.0763888888888889,50112,0.439949431099874,2016
"48","Pierce ",392703," Health diagnosing and treating practitioners and other technical occupations:",14973,0.0381280509698169,"white_collar","healthcare",31887,0.0811987685349997,153447,0.390745678031489,2016
"49","Snohomish ",402023," Health diagnosing and treating practitioners and other technical occupations:",14155,0.0352094283162904,"white_collar","healthcare",29369,0.0730530342791333,182799,0.454697865545006,2016
"50","Thurston ",122393," Health diagnosing and treating practitioners and other technical occupations:",5706,0.0466203132532089,"white_collar","healthcare",10144,0.0828805568945936,60869,0.497324193377072,2016
"51","King ",1172234," Health technologists and technicians",14172,0.0120897363495684,"white_collar","healthcare",81371,0.0694153215143052,661511,0.564316510184827,2016
