"","job","job_class","job_type","year","population","n_city","job_prop","job_type_n","job_type_prop","job_class_n","job_class_prop"
"1"," Agricultural workers","blue_collar","production",2010,3350957,12819,0.0038254743346453,563261,0.168089593510152,1464431,0.437018738229109
"2"," Agricultural workers","blue_collar","production",2011,3293918,12971,0.00393786366266556,550668,0.16717720356123,1442521,0.437934702685373
"3"," Agricultural workers","blue_collar","production",2012,3508110,13364,0.00380945865437515,584759,0.166687760646046,1526946,0.435261722123879
"4"," Agricultural workers","blue_collar","production",2013,3674321,14706,0.00400237213896119,608638,0.165646387454988,1595899,0.434338480497485
"5"," Agricultural workers","blue_collar","production",2014,3740162,15815,0.0042284264692278,629993,0.168440030137732,1612351,0.431091220112926
"6"," Agricultural workers","blue_collar","production",2015,3821090,15726,0.00411557958592967,639836,0.167448555255176,1630274,0.426651557539864
"7"," Agricultural workers","blue_collar","production",2016,3967499,14693,0.00370334056794973,647534,0.163209618956426,1667664,0.420331296869892
"8"," Air transportation workers","blue_collar","production",2006,3351545,3055,0.000911519910966435,600076,0.179044589883173,1431236,0.427037679637302
"9"," Air transportation workers","blue_collar","production",2007,3395670,2249,0.000662314064676485,585541,0.172437545462309,1427785,0.420472248481154
"10"," Air transportation workers","blue_collar","production",2008,3500221,2785,0.000795664045213145,629817,0.179936352590308,1469729,0.419896057991767
"11"," Air transportation workers","blue_collar","production",2009,3397400,2889,0.00085035615470654,602206,0.177254959675046,1403813,0.413202154588803
"12"," Air transportation workers","blue_collar","transportation",2010,3350957,5056,0.00150882270348441,141888,0.0423425308053789,1464431,0.437018738229109
"13"," Air transportation workers","blue_collar","transportation",2011,3293918,6142,0.00186464872531739,135701,0.0411974432879021,1442521,0.437934702685373
"14"," Air transportation workers","blue_collar","transportation",2012,3508110,5831,0.00166214856432666,144426,0.041169176565159,1526946,0.435261722123879
"15"," Air transportation workers","blue_collar","transportation",2013,3674321,6089,0.0016571769314657,160131,0.0435811133540047,1595899,0.434338480497485
"16"," Air transportation workers","blue_collar","transportation",2014,3740162,6173,0.00165046326870333,160566,0.0429302260169479,1612351,0.431091220112926
"17"," Air transportation workers","blue_collar","transportation",2015,3821090,7623,0.00199498048986022,167672,0.0438806727923184,1630274,0.426651557539864
"18"," Air transportation workers","blue_collar","transportation",2016,3967499,5631,0.00141928202124311,164364,0.0414276096855979,1667664,0.420331296869892
"19"," Architecture and engineering occupations:","white_collar","tech",2006,3351545,114667,0.0342131763112236,288031,0.0859397680771107,1789504,0.533934051310664
"20"," Architecture and engineering occupations:","white_collar","tech",2007,3395670,119744,0.0352637329304673,296040,0.0871816165881844,1815204,0.534564312786578
"21"," Architecture and engineering occupations:","white_collar","tech",2008,3500221,123221,0.0352037771329296,306944,0.087692748543592,1878064,0.5365558346173
"22"," Architecture and engineering occupations:","white_collar","tech",2009,3397400,113497,0.033407017130747,297373,0.0875295814446341,1840365,0.541698063224819
"23"," Architecture and engineering occupations:","white_collar","tech",2010,3350957,116776,0.03484855221956,295839,0.088284928753189,1694048,0.50554155126431
"24"," Architecture and engineering occupations:","white_collar","tech",2011,3293918,111642,0.0338933756092289,295757,0.0897888168436494,1664391,0.505292177886638
"25"," Architecture and engineering occupations:","white_collar","tech",2012,3508110,123741,0.0352728392211191,330345,0.0941660894327715,1789710,0.510163592361699
"26"," Architecture and engineering occupations:","white_collar","tech",2013,3674321,125711,0.0342133961621753,343553,0.0935010849623645,1873739,0.509955172669998
"27"," Architecture and engineering occupations:","white_collar","tech",2014,3740162,125221,0.0334801005945732,369074,0.0986786133862651,1935856,0.517586136643279
"28"," Architecture and engineering occupations:","white_collar","tech",2015,3821090,122811,0.0321403055149185,388319,0.101625190717832,1986975,0.520002145984523
"29"," Architecture and engineering occupations:","white_collar","tech",2016,3967499,133740,0.0337088931843461,420739,0.106046403540366,2092488,0.52740731629674
"30"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2006,3351545,92394,0.0275675845020729,600076,0.179044589883173,1789504,0.533934051310664
"31"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2007,3395670,82924,0.0244205120049946,585541,0.172437545462309,1815204,0.534564312786578
"32"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2008,3500221,94841,0.0270957176703985,629817,0.179936352590308,1878064,0.5365558346173
"33"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2009,3397400,89142,0.0262382998763761,602206,0.177254959675046,1840365,0.541698063224819
"34"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2010,3350957,92429,0.0275828666258624,563261,0.168089593510152,1694048,0.50554155126431
"35"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2011,3293918,92706,0.0281445986208521,550668,0.16717720356123,1664391,0.505292177886638
"36"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2012,3508110,100760,0.0287220184087728,584759,0.166687760646046,1789710,0.510163592361699
"37"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2013,3674321,103667,0.0282139203406561,608638,0.165646387454988,1873739,0.509955172669998
"38"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2014,3740162,107250,0.0286752285061449,629993,0.168440030137732,1935856,0.517586136643279
"39"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2015,3821090,109252,0.0285918415949376,639836,0.167448555255176,1986975,0.520002145984523
"40"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2016,3967499,117682,0.0296615071610604,647534,0.163209618956426,2092488,0.52740731629674
"41"," Assemblers and fabricators","blue_collar","construction\contracting",2006,3351545,25921,0.0077340450448972,207391,0.0618792228658723,1431236,0.427037679637302
"42"," Assemblers and fabricators","blue_collar","construction\contracting",2007,3395670,22451,0.00661165543177046,194178,0.0571840019789909,1427785,0.420472248481154
"43"," Assemblers and fabricators","blue_collar","construction\contracting",2008,3500221,26792,0.00765437382382427,201205,0.0574835131838818,1469729,0.419896057991767
"44"," Assemblers and fabricators","blue_collar","construction\contracting",2009,3397400,22292,0.00656148819685642,179034,0.0526973568022606,1403813,0.413202154588803
"45"," Assemblers and fabricators","blue_collar","production",2010,3350957,18073,0.00539338463609053,563261,0.168089593510152,1464431,0.437018738229109
"46"," Assemblers and fabricators","blue_collar","production",2011,3293918,20925,0.00635261715683268,550668,0.16717720356123,1442521,0.437934702685373
"47"," Assemblers and fabricators","blue_collar","production",2012,3508110,20310,0.00578944217826693,584759,0.166687760646046,1526946,0.435261722123879
"48"," Assemblers and fabricators","blue_collar","production",2013,3674321,22257,0.00605744571582069,608638,0.165646387454988,1595899,0.434338480497485
"49"," Assemblers and fabricators","blue_collar","production",2014,3740162,22722,0.00607513792183333,629993,0.168440030137732,1612351,0.431091220112926
"50"," Assemblers and fabricators","blue_collar","production",2015,3821090,21942,0.00574234053633911,639836,0.167448555255176,1630274,0.426651557539864
"51"," Assemblers and fabricators","blue_collar","production",2016,3967499,24502,0.00617567893526879,647534,0.163209618956426,1667664,0.420331296869892
"52"," Baggage porters and concierges, and tour and travel guides","blue_collar","service",2010,3350957,3021,0.00090153350222041,942606,0.281294567492212,1464431,0.437018738229109
"53"," Baggage porters and concierges, and tour and travel guides","blue_collar","service",2011,3293918,4929,0.00149639426360948,919883,0.27926712201093,1442521,0.437934702685373
"54"," Baggage porters and concierges, and tour and travel guides","blue_collar","service",2012,3508110,4520,0.00128844306478417,994682,0.283537859417179,1526946,0.435261722123879
"55"," Baggage porters and concierges, and tour and travel guides","blue_collar","service",2013,3674321,3523,0.000958816608565229,1013770,0.275906759371323,1595899,0.434338480497485
"56"," Baggage porters and concierges, and tour and travel guides","blue_collar","service",2014,3740162,4259,0.00113872072920906,1033864,0.27642225122869,1612351,0.431091220112926
"57"," Baggage porters and concierges, and tour and travel guides","blue_collar","service",2015,3821090,3867,0.00101201489627305,1025495,0.268377609530265,1630274,0.426651557539864
"58"," Baggage porters and concierges, and tour and travel guides","blue_collar","service",2016,3967499,4348,0.00109590449802256,1082062,0.272731511715567,1667664,0.420331296869892
"59"," Bookkeeping, accounting, and auditing clerks","blue_collar","service",2006,3351545,33889,0.0101114560598172,880994,0.262862053172492,1431236,0.427037679637302
"60"," Bookkeeping, accounting, and auditing clerks","blue_collar","service",2007,3395670,35378,0.0104185624633725,889529,0.261959789967812,1427785,0.420472248481154
"61"," Bookkeeping, accounting, and auditing clerks","blue_collar","service",2008,3500221,34182,0.00976566908203796,903531,0.258135414878089,1469729,0.419896057991767
"62"," Bookkeeping, accounting, and auditing clerks","blue_collar","service",2009,3397400,32469,0.00955701418731971,876577,0.258014069582622,1403813,0.413202154588803
"63"," Bookkeeping, accounting, and auditing clerks","white_collar","business",2010,3350957,33099,0.00987747679245063,732545,0.218607699233383,1694048,0.50554155126431
"64"," Bookkeeping, accounting, and auditing clerks","white_collar","business",2011,3293918,29260,0.00888303837557583,728225,0.221081702701767,1664391,0.505292177886638
"65"," Bookkeeping, accounting, and auditing clerks","white_collar","business",2012,3508110,28414,0.00809951797406581,764374,0.21788769451357,1789710,0.510163592361699
"66"," Bookkeeping, accounting, and auditing clerks","white_collar","business",2013,3674321,31692,0.00862526709016441,811594,0.220882715473145,1873739,0.509955172669998
"67"," Bookkeeping, accounting, and auditing clerks","white_collar","business",2014,3740162,26587,0.00710851562044639,831029,0.222190643079097,1935856,0.517586136643279
"68"," Bookkeeping, accounting, and auditing clerks","white_collar","business",2015,3821090,26131,0.00683862458094418,858844,0.224764137981571,1986975,0.520002145984523
"69"," Bookkeeping, accounting, and auditing clerks","white_collar","business",2016,3967499,29386,0.00740668113589947,899543,0.226727971450024,2092488,0.52740731629674
"70"," Building cleaning and pest control workers","blue_collar","service",2010,3350957,89253,0.0266350776807939,942606,0.281294567492212,1464431,0.437018738229109
