"","y2_countyfips","year","n","agi","county"
"1",5,2008,35911,1706692,"Clackamas"
"2",5,2009,34810,1577696,"Clackamas"
"3",5,2010,34159,1644137,"Clackamas"
"4",5,2011,2276,152778,"Clackamas"
"5",5,2012,2483,189061,"Clackamas"
"6",5,2013,1848,140588,"Clackamas"
"7",5,2014,1329,92718,"Clackamas"
"8",5,2015,2348,206537,"Clackamas"
"9",51,2008,87724,3404485,"Multnomah"
"10",51,2009,79174,2939400,"Multnomah"
"11",51,2010,83743,3256746,"Multnomah"
"12",51,2011,10355,514324,"Multnomah"
"13",51,2012,11123,661292,"Multnomah"
"14",51,2013,10186,583035,"Multnomah"
"15",51,2014,7545,446201,"Multnomah"
"16",51,2015,13184,889156,"Multnomah"
"17",67,2008,55236,2439850,"Washington"
"18",67,2009,48579,2025942,"Washington"
"19",67,2010,52261,2372990,"Washington"
"20",67,2011,5534,318426,"Washington"
"21",67,2012,6075,361173,"Washington"
"22",67,2013,4748,292884,"Washington"
"23",67,2014,3426,226274,"Washington"
"24",67,2015,6387,437881,"Washington"
