"","y1_statefips","y1_countyfips","y2_statefips","y2_countyfips","y2_state","y2_countyname","n1","n2","agi","origin_area","dest_area"
"1","06","001","06","013","CA","Contra Costa County",6690,13336,463393,"bay_area","bay_area"
"2","06","001","06","085","CA","Santa Clara County",3540,6646,272446,"bay_area","bay_area"
"3","06","001","06","075","CA","San Francisco County",3430,4531,202723,"bay_area","bay_area"
"4","06","001","06","077","CA","San Joaquin County",2155,5018,104079,"bay_area","CA"
"5","06","001","06","081","CA","San Mateo County",1948,3855,126095,"bay_area","bay_area"
"6","06","001","06","037","CA","Los Angeles County",1560,2331,74354,"bay_area","LA"
"7","06","001","06","067","CA","Sacramento County",1008,1775,40700,"bay_area","CA"
"8","06","001","06","095","CA","Solano County",802,1552,35516,"bay_area","bay_area"
"9","06","001","06","073","CA","San Diego County",627,951,33291,"bay_area","CA"
"10","06","001","06","099","CA","Stanislaus County",568,1310,23506,"bay_area","CA"
"11","06","001","06","059","CA","Orange County",467,809,26468,"bay_area","LA"
"12","06","001","06","041","CA","Marin County",372,604,25934,"bay_area","bay_area"
"13","06","001","06","097","CA","Sonoma County",365,540,17687,"bay_area","bay_area"
"14","06","001","53","033","WA","King County",349,571,25167,"bay_area","puget_sound"
"15","06","001","36","061","NY","New York County",312,385,19134,"bay_area","NY"
"16","06","001","04","013","AZ","Maricopa County",284,543,15590,"bay_area","AZ"
"17","06","001","32","003","NV","Clark County",279,499,12333,"bay_area","NV"
"18","06","001","06","065","CA","Riverside County",213,408,10366,"bay_area","LA"
"19","06","001","06","087","CA","Santa Cruz County",209,325,11800,"bay_area","bay_area"
"20","06","001","06","061","CA","Placer County",208,406,14597,"bay_area","CA"
"21","06","001","17","031","IL","Cook County",199,318,9995,"bay_area","IL"
"22","06","001","36","047","NY","Kings County",199,237,7441,"bay_area","NY"
"23","06","001","06","113","CA","Yolo County",194,316,8719,"bay_area","CA"
"24","06","001","41","051","OR","Multnomah County",183,245,8082,"bay_area","pdx"
"25","06","001","25","017","MA","Middlesex County",161,254,10452,"bay_area","MA"
"26","06","001","06","019","CA","Fresno County",160,341,6690,"bay_area","CA"
"27","06","001","06","071","CA","San Bernardino County",160,320,5776,"bay_area","LA"
"28","06","001","11","001","DC","District of Columbia",160,192,8849,"bay_area","DC"
"29","06","001","06","053","CA","Monterey County",159,273,10117,"bay_area","CA"
"30","06","001","15","003","HI","Honolulu County",154,237,7034,"bay_area","HI"
"31","06","001","48","201","TX","Harris County",153,280,11231,"bay_area","TX"
"32","06","001","32","031","NV","Washoe County",145,276,9577,"bay_area","NV"
"33","06","001","48","453","TX","Travis County",132,231,10899,"bay_area","TX"
"34","06","001","06","055","CA","Napa County",118,196,8525,"bay_area","bay_area"
"35","06","001","48","113","TX","Dallas County",118,207,7259,"bay_area","TX"
"36","06","001","06","017","CA","El Dorado County",109,196,7765,"bay_area","CA"
"37","06","001","06","007","CA","Butte County",105,180,3841,"bay_area","CA"
"38","06","001","13","121","GA","Fulton County",104,179,6159,"bay_area","GA"
"39","06","001","06","083","CA","Santa Barbara County",102,150,4414,"bay_area","CA"
"40","06","001","06","047","CA","Merced County",99,233,3166,"bay_area","CA"
"41","06","001","12","086","FL","Miami Dade County",97,134,4777,"bay_area","FL"
"42","06","001","06","029","CA","Kern County",95,201,3752,"bay_area","CA"
"43","06","001","06","079","CA","San Luis Obispo County",94,131,4196,"bay_area","CA"
"44","06","001","41","067","OR","Washington County",90,170,6136,"bay_area","pdx"
"45","06","001","25","025","MA","Suffolk County",85,101,3252,"bay_area","MA"
"46","06","001","12","057","FL","Hillsborough County",82,109,1853,"bay_area","FL"
"47","06","001","48","085","TX","Collin County",82,184,6476,"bay_area","TX"
"48","06","001","48","029","TX","Bexar County",78,166,7145,"bay_area","TX"
"49","06","001","24","031","MD","Montgomery County",77,131,5658,"bay_area","MD"
"50","06","001","27","053","MN","Hennepin County",77,126,5264,"bay_area","MN"
"51","06","001","06","057","CA","Nevada County",76,127,6334,"bay_area","CA"
"52","06","001","51","059","VA","Fairfax County",76,151,4938,"bay_area","VA"
"53","06","001","06","109","CA","Tuolumne County",74,117,4303,"bay_area","CA"
"54","06","001","06","111","CA","Ventura County",73,139,4919,"bay_area","LA"
"55","06","001","08","031","CO","Denver County",73,109,4366,"bay_area","CO"
"56","06","001","48","439","TX","Tarrant County",72,155,3728,"bay_area","TX"
"57","06","001","53","053","WA","Pierce County",62,106,2452,"bay_area","puget_sound"
"58","06","001","37","119","NC","Mecklenburg County",61,122,4057,"bay_area","NC"
"59","06","001","49","035","UT","Salt Lake County",59,112,3440,"bay_area","UT"
"60","06","001","12","011","FL","Broward County",58,91,3439,"bay_area","FL"
"61","06","001","08","013","CO","Boulder County",57,91,3934,"bay_area","CO"
"62","06","001","41","039","OR","Lane County",57,87,2418,"bay_area","OR"
"63","06","001","36","081","NY","Queens County",56,86,1943,"bay_area","NY"
"64","06","001","06","023","CA","Humboldt County",55,80,2592,"bay_area","CA"
"65","06","001","06","107","CA","Tulare County",53,135,2267,"bay_area","CA"
"66","06","001","04","019","AZ","Pima County",52,74,2548,"bay_area","AZ"
"67","06","001","13","089","GA","Dekalb County",51,85,2477,"bay_area","GA"
"68","06","001","34","023","NJ","Middlesex County",50,94,3293,"bay_area","NJ"
"69","06","001","42","101","PA","Philadelphia County",49,61,1789,"bay_area","PA"
"70","06","001","39","049","OH","Franklin County",48,65,2641,"bay_area","OH"
"71","06","001","06","045","CA","Mendocino County",47,68,2634,"bay_area","CA"
"72","06","001","34","017","NJ","Hudson County",46,75,4232,"bay_area","NJ"
"73","06","001","35","001","NM","Bernalillo County",46,77,2756,"bay_area","NM"
"74","06","001","06","033","CA","Lake County",45,69,1550,"bay_area","CA"
"75","06","001","26","161","MI","Washtenaw County",45,60,1652,"bay_area","MI"
"76","06","001","09","009","CT","New Haven County",43,63,2080,"bay_area","CT"
"77","06","001","37","183","NC","Wake County",43,97,4151,"bay_area","NC"
"78","06","001","06","089","CA","Shasta County",41,63,2045,"bay_area","CA"
"79","06","001","22","071","LA","Orleans Parish",41,47,1249,"bay_area","LA"
"80","06","001","51","013","VA","Arlington County",41,59,3633,"bay_area","VA"
"81","06","001","06","009","CA","Calaveras County",40,74,1964,"bay_area","CA"
"82","06","001","42","003","PA","Allegheny County",40,85,4032,"bay_area","PA"
"83","06","001","55","025","WI","Dane County",40,54,1508,"bay_area","WI"
"84","06","001","08","005","CO","Arapahoe County",39,71,2431,"bay_area","CO"
"85","06","001","41","029","OR","Jackson County",39,66,3538,"bay_area","OR"
"86","06","001","08","041","CO","El Paso County",36,76,2114,"bay_area","CO"
"87","06","001","17","043","IL","Dupage County",36,73,1880,"bay_area","IL"
"88","06","001","25","021","MA","Norfolk County",35,56,1845,"bay_area","MA"
"89","06","001","53","061","WA","Snohomish County",35,76,1510,"bay_area","puget_sound"
"90","06","001","06","039","CA","Madera County",34,73,1644,"bay_area","CA"
"91","06","001","16","001","ID","Ada County",34,79,2154,"bay_area","ID"
