"","y2_statefips","y2_countyfips","y1_statefips","y1_countyfips","y1_state","y1_countyname","n1","n2","agi","area"
"1","41","005","41","051","OR","Multnomah County",4989,9292,265658,"pdx"
"2","41","005","41","067","OR","Washington County",2219,4119,148760,"pdx"
"3","41","005","41","047","OR","Marion County",665,1395,31342,"oregon"
"4","41","005","53","011","WA","Clark County",489,955,25587,"pdx"
"5","41","005","41","039","OR","Lane County",229,392,8902,"oregon"
"6","41","005","41","017","OR","Deschutes County",180,338,9229,"oregon"
"7","41","005","06","037","CA","Los Angeles County",176,325,11083,"LA"
"8","41","005","53","033","WA","King County",176,300,17413,"puget_sound"
"9","41","005","41","071","OR","Yamhill County",173,312,6943,"oregon"
"10","41","005","04","013","AZ","Maricopa County",144,291,14652,"AZ"
"11","41","005","06","073","CA","San Diego County",125,222,6068,"CA"
"12","41","005","41","003","OR","Benton County",121,185,5669,"oregon"
"13","41","005","41","053","OR","Polk County",108,193,4422,"oregon"
"14","41","005","06","059","CA","Orange County",98,180,8054,"LA"
"15","41","005","41","029","OR","Jackson County",89,160,4301,"oregon"
"16","41","005","41","043","OR","Linn County",87,149,3283,"oregon"
"17","41","005","06","085","CA","Santa Clara County",83,175,13535,"bay_area"
"18","41","005","32","003","NV","Clark County",72,152,3214,"NV"
"19","41","005","41","019","OR","Douglas County",66,108,2299,"oregon"
"20","41","005","53","053","WA","Pierce County",66,132,3740,"puget_sound"
"21","41","005","53","061","WA","Snohomish County",61,116,3250,"puget_sound"
"22","41","005","41","009","OR","Columbia County",59,110,2740,"oregon"
"23","41","005","41","041","OR","Lincoln County",54,83,1764,"oregon"
"24","41","005","53","063","WA","Spokane County",54,90,2338,"WA"
"25","41","005","15","003","HI","Honolulu County",52,99,2964,"HI"
"26","41","005","41","007","OR","Clatsop County",48,90,1280,"oregon"
"27","41","005","06","013","CA","Contra Costa County",47,107,5430,"bay_area"
"28","41","005","06","065","CA","Riverside County",47,85,3922,"LA"
"29","41","005","06","067","CA","Sacramento County",46,102,2667,"CA"
"30","41","005","16","001","ID","Ada County",40,79,2447,"ID"
"31","41","005","49","035","UT","Salt Lake County",40,93,2820,"UT"
"32","41","005","41","035","OR","Klamath County",38,73,2247,"oregon"
"33","41","005","32","031","NV","Washoe County",37,59,1443,"NV"
"34","41","005","41","011","OR","Coos County",37,65,1356,"oregon"
"35","41","005","41","059","OR","Umatilla County",37,54,1278,"oregon"
"36","41","005","04","019","AZ","Pima County",36,80,2896,"AZ"
"37","41","005","06","071","CA","San Bernardino County",36,71,3086,"LA"
"38","41","005","06","075","CA","San Francisco County",36,50,2780,"bay_area"
"39","41","005","41","065","OR","Wasco County",36,57,1514,"oregon"
"40","41","005","06","001","CA","Alameda County",35,60,2673,"bay_area"
"41","41","005","41","057","OR","Tillamook County",35,46,1218,"oregon"
"42","41","005","06","081","CA","San Mateo County",33,63,7351,"bay_area"
"43","41","005","41","027","OR","Hood River County",33,55,1562,"oregon"
"44","41","005","41","033","OR","Josephine County",29,48,2159,"oregon"
"45","41","005","53","015","WA","Cowlitz County",29,52,1252,"WA"
"46","41","005","17","031","IL","Cook County",26,43,2786,"IL"
"47","41","005","02","020","AK","Anchorage Municipality",25,60,2043,"AK"
"48","41","005","48","453","TX","Travis County",25,33,1084,"TX"
"49","41","005","41","013","OR","Crook County",24,45,358,"oregon"
"50","41","005","41","031","OR","Jefferson County",24,55,654,"oregon"
"51","41","005","48","201","TX","Harris County",24,45,1041,"TX"
"52","41","005","53","067","WA","Thurston County",23,53,1353,"puget_sound"
"53","41","005","06","097","CA","Sonoma County",22,43,168,"bay_area"
"54","41","005","53","077","WA","Yakima County",21,52,1001,"WA"
"55","41","005","04","025","AZ","Yavapai County",20,45,689,"AZ"
"56","41","005","08","031","CO","Denver County",20,33,9541,"CO"
"57","41","005","15","009","HI","Maui County",20,29,712,"HI"
"58","41","005","26","125","MI","Oakland County",20,39,1804,"MI"
"59","41","005","53","071","WA","Walla Walla County",20,38,719,"WA"
"60","41","005","06","023","CA","Humboldt County",19,33,670,"CA"
"61","41","005","08","041","CO","El Paso County",19,50,1127,"CO"
"62","41","005","15","001","HI","Hawaii County",18,28,979,"HI"
"63","41","005","16","027","ID","Canyon County",18,40,1045,"ID"
"64","41","005","27","053","MN","Hennepin County",18,34,1861,"MN"
"65","41","005","48","029","TX","Bexar County",18,35,1086,"TX"
"66","41","005","06","061","CA","Placer County",17,30,1608,"CA"
"67","41","005","36","061","NY","New York County",17,23,1535,"NY"
"68","41","005","48","439","TX","Tarrant County",17,47,1340,"TX"
"69","41","005","51","059","VA","Fairfax County",17,35,1314,"VA"
"70","41","005","53","005","WA","Benton County",17,37,974,"WA"
"71","41","005","53","035","WA","Kitsap County",17,23,659,"puget_sound"
"72","41","005","53","041","WA","Lewis County",17,25,545,"WA"
"73","41","005","02","170","AK","Matanuska-Susitna Borough",16,45,855,"AK"
"74","41","005","06","077","CA","San Joaquin County",16,23,499,"CA"
"75","41","005","06","111","CA","Ventura County",16,44,1474,"LA"
"76","41","005","30","063","MT","Missoula County",16,23,459,"MT"
"77","41","005","41","061","OR","Union County",16,34,560,"oregon"
"78","41","005","04","015","AZ","Mohave County",15,40,625,"AZ"
"79","41","005","06","019","CA","Fresno County",15,33,1386,"CA"
"80","41","005","48","121","TX","Denton County",15,29,1538,"TX"
"81","41","005","02","090","AK","Fairbanks North Star Borough",14,37,910,"AK"
"82","41","005","06","089","CA","Shasta County",14,30,452,"CA"
"83","41","005","08","059","CO","Jefferson County",14,27,481,"CO"
"84","41","005","12","099","FL","Palm Beach County",14,28,2223,"FL"
"85","41","005","04","021","AZ","Pinal County",13,21,444,"AZ"
"86","41","005","08","005","CO","Arapahoe County",13,28,940,"CO"
"87","41","005","08","069","CO","Larimer County",13,27,1024,"CO"
"88","41","005","35","001","NM","Bernalillo County",13,28,672,"NM"
"89","41","005","49","011","UT","Davis County",13,26,580,"UT"
"90","41","005","49","049","UT","Utah County",13,35,603,"UT"
"91","41","005","53","073","WA","Whatcom County",13,26,1667,"WA"
"92","41","005","06","053","CA","Monterey County",12,30,880,"CA"
"93","41","005","06","095","CA","Solano County",12,19,552,"bay_area"
"94","41","005","12","086","FL","Miami-Dade County",12,24,1290,"FL"
"95","41","005","25","017","MA","Middlesex County",12,18,610,"MA"
"96","41","005","06","029","CA","Kern County",11,19,586,"CA"
"97","41","005","06","079","CA","San Luis Obispo County",11,20,642,"CA"
"98","41","005","06","083","CA","Santa Barbara County",11,18,567,"CA"
"99","41","005","06","087","CA","Santa Cruz County",11,18,381,"bay_area"
"100","41","005","11","001","DC","District of Columbia",11,18,809,"DC"
"101","41","005","12","103","FL","Pinellas County",11,19,358,"FL"
"102","41","005","19","113","IA","Linn County",11,20,704,"IA"
"103","41","005","30","031","MT","Gallatin County",11,22,329,"MT"
"104","41","005","02","110","AK","Juneau City and Borough",10,24,529,"AK"
"105","41","005","04","005","AZ","Coconino County",10,31,823,"AZ"
"106","41","005","12","057","FL","Hillsborough County",10,18,570,"FL"
"107","41","005","36","047","NY","Kings County",10,18,671,"NY"
"108","41","005","37","183","NC","Wake County",10,29,1021,"NC"
"109","41","005","41","015","OR","Curry County",10,17,483,"oregon"
"110","41","005","48","085","TX","Collin County",10,12,361,"TX"
"111","41","005","48","113","TX","Dallas County",10,22,476,"TX"
"112","41","005","53","039","WA","Klickitat County",10,24,625,"WA"
"113","41","051","41","067","OR","Washington County",4233,6417,227848,"pdx"
"114","41","051","41","005","OR","Clackamas County",3953,6647,179219,"pdx"
"115","41","051","53","011","WA","Clark County",1623,2873,70456,"pdx"
"116","41","051","53","033","WA","King County",718,1026,47691,"puget_sound"
"117","41","051","41","039","OR","Lane County",659,874,24954,"oregon"
"118","41","051","06","037","CA","Los Angeles County",627,944,42716,"LA"
"119","41","051","41","047","OR","Marion County",519,759,18430,"oregon"
"120","41","051","04","013","AZ","Maricopa County",357,565,19590,"AZ"
"121","41","051","06","075","CA","San Francisco County",316,437,28023,"bay_area"
"122","41","051","06","073","CA","San Diego County",295,440,14928,"CA"
"123","41","051","41","017","OR","Deschutes County",281,429,14131,"oregon"
"124","41","051","17","031","IL","Cook County",258,376,17622,"IL"
"125","41","051","41","029","OR","Jackson County",243,324,8981,"oregon"
"126","41","051","41","003","OR","Benton County",239,307,8298,"oregon"
"127","41","051","06","001","CA","Alameda County",221,324,15414,"bay_area"
"128","41","051","36","047","NY","Kings County",195,275,13293,"NY"
"129","41","051","41","071","OR","Yamhill County",194,303,10131,"oregon"
"130","41","051","06","059","CA","Orange County",189,255,9826,"LA"
"131","41","051","53","053","WA","Pierce County",183,308,7340,"puget_sound"
"132","41","051","41","009","OR","Columbia County",170,313,7044,"oregon"
"133","41","051","06","085","CA","Santa Clara County",168,295,17785,"bay_area"
"134","41","051","32","003","NV","Clark County",164,282,7975,"NV"
"135","41","051","15","003","HI","Honolulu County",155,260,8359,"HI"
"136","41","051","49","035","UT","Salt Lake County",137,235,6145,"UT"
"137","41","051","53","063","WA","Spokane County",134,194,6404,"WA"
"138","41","051","36","061","NY","New York County",133,180,11898,"NY"
"139","41","051","08","031","CO","Denver County",132,165,5936,"CO"
"140","41","051","06","067","CA","Sacramento County",125,174,7697,"CA"
"141","41","051","48","453","TX","Travis County",125,179,6900,"TX"
"142","41","051","04","019","AZ","Pima County",121,178,4832,"AZ"
"143","41","051","41","007","OR","Clatsop County",121,205,4829,"oregon"
"144","41","051","16","001","ID","Ada County",115,152,4215,"ID"
"145","41","051","27","053","MN","Hennepin County",111,147,9401,"MN"
"146","41","051","41","041","OR","Lincoln County",111,139,4143,"oregon"
"147","41","051","02","020","AK","Anchorage Municipality",108,177,5504,"AK"
"148","41","051","53","067","WA","Thurston County",106,147,3335,"puget_sound"
"149","41","051","53","061","WA","Snohomish County",105,149,4440,"puget_sound"
"150","41","051","41","043","OR","Linn County",102,166,3697,"oregon"
"151","41","051","11","001","DC","District of Columbia",101,139,12060,"DC"
"152","41","051","41","053","OR","Polk County",100,152,3488,"oregon"
"153","41","051","25","017","MA","Middlesex County",97,138,6861,"MA"
"154","41","051","06","065","CA","Riverside County",95,146,4591,"LA"
"155","41","051","06","081","CA","San Mateo County",95,149,7779,"bay_area"
"156","41","051","48","113","TX","Dallas County",95,179,6542,"TX"
"157","41","051","53","015","WA","Cowlitz County",93,145,2891,"WA"
"158","41","051","41","027","OR","Hood River County",91,141,4515,"oregon"
"159","41","051","41","019","OR","Douglas County",79,112,2299,"oregon"
"160","41","051","25","025","MA","Suffolk County",75,105,3835,"MA"
"161","41","051","42","101","PA","Philadelphia County",75,107,4006,"PA"
"162","41","051","48","201","TX","Harris County",74,114,5156,"TX"
"163","41","051","53","073","WA","Whatcom County",72,90,2073,"WA"
"164","41","051","08","013","CO","Boulder County",71,95,3943,"CO"
"165","41","051","06","097","CA","Sonoma County",70,93,2941,"bay_area"
"166","41","051","06","111","CA","Ventura County",67,104,2844,"LA"
"167","41","051","35","001","NM","Bernalillo County",67,100,3228,"NM"
"168","41","051","55","025","WI","Dane County",67,101,3738,"WI"
"169","41","051","06","013","CA","Contra Costa County",65,118,3920,"bay_area"
"170","41","051","41","057","OR","Tillamook County",61,100,3587,"oregon"
"171","41","051","32","031","NV","Washoe County",60,97,1822,"NV"
"172","41","051","41","059","OR","Umatilla County",60,90,1696,"oregon"
"173","41","051","41","065","OR","Wasco County",60,90,1658,"oregon"
"174","41","051","06","019","CA","Fresno County",57,120,2446,"CA"
"175","41","051","06","071","CA","San Bernardino County",57,104,2057,"LA"
"176","41","051","48","029","TX","Bexar County",56,87,2916,"TX"
"177","41","051","36","081","NY","Queens County",55,75,2478,"NY"
"178","41","051","41","033","OR","Josephine County",55,71,1283,"oregon"
"179","41","051","41","035","OR","Klamath County",55,76,1459,"oregon"
"180","41","051","42","003","PA","Allegheny County",55,70,2582,"PA"
"181","41","051","06","023","CA","Humboldt County",54,61,934,"CA"
"182","41","051","12","011","FL","Broward County",54,80,2364,"FL"
"183","41","051","06","041","CA","Marin County",53,80,8789,"bay_area"
"184","41","051","06","083","CA","Santa Barbara County",53,70,1514,"CA"
"185","41","051","39","049","OH","Franklin County",52,72,3198,"OH"
"186","41","051","13","121","GA","Fulton County",50,86,3953,"GA"
"187","41","051","06","087","CA","Santa Cruz County",49,62,1747,"bay_area"
"188","41","051","41","011","OR","Coos County",49,75,1440,"oregon"
"189","41","051","53","035","WA","Kitsap County",49,75,2562,"puget_sound"
"190","41","051","30","063","MT","Missoula County",48,62,1652,"MT"
"191","41","051","55","079","WI","Milwaukee County",48,66,2493,"WI"
"192","41","051","26","125","MI","Oakland County",47,64,2620,"MI"
"193","41","051","12","086","FL","Miami-Dade County",45,66,12698,"FL"
"194","41","051","24","510","MD","Baltimore city",45,67,3245,"MD"
"195","41","051","08","005","CO","Arapahoe County",44,64,1920,"CO"
"196","41","051","12","095","FL","Orange County",43,54,1087,"FL"
"197","41","051","18","097","IN","Marion County",40,47,1496,"IN"
"198","41","051","51","059","VA","Fairfax County",40,59,8358,"VA"
"199","41","051","06","079","CA","San Luis Obispo County",39,57,952,"CA"
"200","41","051","12","057","FL","Hillsborough County",39,49,1353,"FL"
"201","41","051","15","009","HI","Maui County",39,60,1343,"HI"
"202","41","051","06","053","CA","Monterey County",38,53,1575,"CA"
"203","41","051","12","103","FL","Pinellas County",38,49,1559,"FL"
"204","41","051","48","439","TX","Tarrant County",38,80,2025,"TX"
"205","41","051","53","005","WA","Benton County",38,57,1451,"WA"
"206","41","051","08","041","CO","El Paso County",37,56,2065,"CO"
"207","41","051","31","055","NE","Douglas County",37,48,1785,"NE"
"208","41","051","35","049","NM","Santa Fe County",37,54,1418,"NM"
"209","41","051","53","071","WA","Walla Walla County",37,61,1368,"WA"
"210","41","051","24","031","MD","Montgomery County",36,72,3749,"MD"
"211","41","051","26","161","MI","Washtenaw County",36,48,2071,"MI"
"212","41","051","29","095","MO","Jackson County",36,51,1500,"MO"
"213","41","051","30","031","MT","Gallatin County",36,47,1031,"MT"
"214","41","051","53","077","WA","Yakima County",36,53,909,"WA"
"215","41","051","08","069","CO","Larimer County",35,45,1207,"CO"
"216","41","051","27","123","MN","Ramsey County",35,55,1139,"MN"
"217","41","051","29","189","MO","St. Louis County",35,58,2452,"MO"
"218","41","051","47","037","TN","Davidson County",35,46,1470,"TN"
"219","41","051","13","089","GA","DeKalb County",34,50,1912,"GA"
"220","41","051","41","061","OR","Union County",33,52,1478,"oregon"
"221","41","051","48","121","TX","Denton County",33,55,1969,"TX"
"222","41","051","39","035","OH","Cuyahoga County",32,41,1705,"OH"
"223","41","051","47","157","TN","Shelby County",32,48,1856,"TN"
"224","41","051","06","061","CA","Placer County",31,41,1362,"CA"
"225","41","051","06","007","CA","Butte County",30,39,857,"CA"
"226","41","051","06","029","CA","Kern County",30,56,1035,"CA"
"227","41","051","40","143","OK","Tulsa County",30,49,798,"OK"
"228","41","051","53","039","WA","Klickitat County",30,46,1517,"WA"
"229","41","051","04","005","AZ","Coconino County",29,32,756,"AZ"
"230","41","051","16","055","ID","Kootenai County",29,42,1169,"ID"
"231","41","051","48","085","TX","Collin County",29,47,1832,"TX"
"232","41","051","04","015","AZ","Mohave County",28,51,910,"AZ"
"233","41","051","06","089","CA","Shasta County",28,46,803,"CA"
"234","41","051","08","059","CO","Jefferson County",28,33,1582,"CO"
"235","41","051","12","099","FL","Palm Beach County",28,37,1027,"FL"
"236","41","051","15","001","HI","Hawaii County",28,42,1141,"HI"
"237","41","051","17","043","IL","DuPage County",28,35,1040,"IL"
"238","41","051","22","071","LA","Orleans Parish",28,32,1020,"LA"
"239","41","051","44","007","RI","Providence County",28,42,1114,"RI"
"240","41","051","37","119","NC","Mecklenburg County",27,40,2452,"NC"
"241","41","051","41","031","OR","Jefferson County",26,51,1008,"oregon"
"242","41","051","50","007","VT","Chittenden County",26,34,812,"VT"
"243","41","051","06","113","CA","Yolo County",25,34,985,"CA"
"244","41","051","26","163","MI","Wayne County",25,43,1705,"MI"
"245","41","051","53","059","WA","Skamania County",25,49,2872,"WA"
"246","41","051","17","097","IL","Lake County",24,31,1262,"IL"
"247","41","051","19","153","IA","Polk County",24,32,2125,"IA"
"248","41","051","48","141","TX","El Paso County",24,35,875,"TX"
"249","41","051","51","510","VA","Alexandria city",24,28,1770,"VA"
"250","41","051","02","090","AK","Fairbanks North Star Borough",23,29,766,"AK"
"251","41","051","06","077","CA","San Joaquin County",23,50,767,"CA"
"252","41","051","09","003","CT","Hartford County",23,36,1176,"CT"
"253","41","051","13","067","GA","Cobb County",23,33,1508,"GA"
"254","41","051","16","057","ID","Latah County",23,41,387,"ID"
"255","41","051","20","091","KS","Johnson County",23,28,914,"KS"
"256","41","051","23","005","ME","Cumberland County",23,34,958,"ME"
"257","41","051","36","029","NY","Erie County",23,27,1081,"NY"
"258","41","051","51","013","VA","Arlington County",23,30,1518,"VA"
"259","41","051","06","055","CA","Napa County",22,33,1085,"bay_area"
"260","41","051","12","001","FL","Alachua County",22,30,778,"FL"
"261","41","051","12","031","FL","Duval County",22,30,3842,"FL"
"262","41","051","25","009","MA","Essex County",22,30,1192,"MA"
"263","41","051","29","510","MO","St. Louis city",22,30,1166,"MO"
"264","41","051","30","111","MT","Yellowstone County",22,30,728,"MT"
"265","41","051","37","183","NC","Wake County",22,40,836,"NC"
"266","41","051","39","061","OH","Hamilton County",22,24,1038,"OH"
"267","41","051","53","009","WA","Clallam County",22,24,392,"WA"
"268","41","051","02","110","AK","Juneau City and Borough",21,28,717,"AK"
"269","41","051","04","025","AZ","Yavapai County",21,32,500,"AZ"
"270","41","051","19","103","IA","Johnson County",21,32,2158,"IA"
"271","41","051","26","081","MI","Kent County",21,38,578,"MI"
"272","41","051","36","059","NY","Nassau County",21,34,1359,"NY"
"273","41","051","41","013","OR","Crook County",21,34,615,"oregon"
"274","41","051","49","049","UT","Utah County",21,42,646,"UT"
"275","41","051","53","031","WA","Jefferson County",21,24,717,"WA"
"276","41","051","06","057","CA","Nevada County",20,24,793,"CA"
"277","41","051","06","099","CA","Stanislaus County",20,38,1127,"CA"
"278","41","051","09","009","CT","New Haven County",20,28,20353,"CT"
"279","41","051","25","021","MA","Norfolk County",20,25,1372,"MA"
"280","41","051","40","109","OK","Oklahoma County",20,26,599,"OK"
"281","41","051","53","041","WA","Lewis County",20,41,442,"WA"
"282","41","051","33","011","NH","Hillsborough County",19,28,762,"NH"
"283","41","051","36","119","NY","Westchester County",19,34,1820,"NY"
"284","41","051","42","091","PA","Montgomery County",19,26,2231,"PA"
"285","41","051","53","029","WA","Island County",19,37,860,"puget_sound"
"286","41","051","53","049","WA","Pacific County",19,31,2517,"WA"
"287","41","051","53","057","WA","Skagit County",19,24,987,"puget_sound"
"288","41","051","16","027","ID","Canyon County",18,31,530,"ID"
"289","41","051","18","105","IN","Monroe County",18,23,348,"IN"
"290","41","051","36","067","NY","Onondaga County",18,25,747,"NY"
"291","41","051","36","103","NY","Suffolk County",18,26,791,"NY"
"292","41","051","37","063","NC","Durham County",18,34,985,"NC"
"293","41","051","06","095","CA","Solano County",17,27,521,"bay_area"
"294","41","051","12","073","FL","Leon County",17,19,1187,"FL"
"295","41","051","12","101","FL","Pasco County",17,19,521,"FL"
"296","41","051","29","019","MO","Boone County",17,22,416,"MO"
"297","41","051","36","055","NY","Monroe County",17,20,722,"NY"
"298","41","051","49","057","UT","Weber County",17,27,495,"UT"
"299","41","051","09","001","CT","Fairfield County",16,23,1583,"CT"
"300","41","051","12","071","FL","Lee County",16,22,1202,"FL"
"301","41","051","12","117","FL","Seminole County",16,26,809,"FL"
"302","41","051","20","045","KS","Douglas County",16,28,698,"KS"
"303","41","051","21","111","KY","Jefferson County",16,21,871,"KY"
"304","41","051","34","023","NJ","Middlesex County",16,21,791,"NJ"
"305","41","051","47","093","TN","Knox County",16,21,1403,"TN"
"306","41","051","51","760","VA","Richmond city",16,20,685,"VA"
"307","41","051","18","141","IN","St. Joseph County",15,23,512,"IN"
"308","41","051","25","015","MA","Hampshire County",15,22,709,"MA"
"309","41","051","25","027","MA","Worcester County",15,29,1056,"MA"
"310","41","051","41","015","OR","Curry County",15,20,530,"oregon"
"311","41","051","45","019","SC","Charleston County",15,22,565,"SC"
"312","41","051","51","810","VA","Virginia Beach city",15,22,435,"VA"
"313","41","051","53","007","WA","Chelan County",15,21,444,"WA"
"314","41","051","53","021","WA","Franklin County",15,27,402,"WA"
"315","41","051","53","025","WA","Grant County",15,28,374,"WA"
"316","41","051","53","027","WA","Grays Harbor County",15,20,256,"WA"
"317","41","051","53","075","WA","Whitman County",15,24,411,"WA"
"318","41","051","01","073","AL","Jefferson County",14,19,749,"AL"
"319","41","051","05","143","AR","Washington County",14,20,449,"AR"
"320","41","051","12","115","FL","Sarasota County",14,17,927,"FL"
"321","41","051","29","077","MO","Greene County",14,20,387,"MO"
