"","y1_statefips","y1_countyfips","y2_statefips","y2_countyfips","y2_state","y2_countyname","n1","n2","agi","origin_area","dest_area"
"1","41","005","41","051","OR","Multnomah County",3881,6630,159729,"pdx","pdx"
"2","41","005","41","067","OR","Washington County",1853,3226,89473,"pdx","pdx"
"3","41","005","41","047","OR","Marion County",627,1388,25949,"pdx","pdx"
"4","41","005","53","011","WA","Clark County",608,1288,33302,"pdx","pdx"
"5","41","005","41","017","OR","Deschutes County",212,402,12479,"pdx","pdx"
"6","41","005","53","033","WA","King County",177,308,19204,"pdx","puget_sound_area"
"7","41","005","41","071","OR","Yamhill County",171,345,7297,"pdx","pdx"
"8","41","005","04","013","AZ","Maricopa County",138,291,20282,"pdx","pdx"
"9","41","005","41","039","OR","Lane County",130,197,27931,"pdx","pdx"
"10","41","005","06","037","CA","Los Angeles County",120,223,6767,"pdx","pdx"
"11","41","005","06","073","CA","San Diego County",95,190,6444,"pdx","pdx"
"12","41","005","53","053","WA","Pierce County",74,144,3831,"pdx","puget_sound_area"
"13","41","005","32","003","NV","Clark County",66,126,3423,"pdx","pdx"
"14","41","005","41","009","OR","Columbia County",65,113,2166,"pdx","pdx"
"15","41","005","41","003","OR","Benton County",62,90,2672,"pdx","pdx"
"16","41","005","41","029","OR","Jackson County",62,113,2527,"pdx","pdx"
"17","41","005","16","001","ID","Ada County",61,133,4210,"pdx","pdx"
"18","41","005","41","041","OR","Lincoln County",60,95,2204,"pdx","pdx"
"19","41","005","06","059","CA","Orange County",54,103,4575,"pdx","pdx"
"20","41","005","41","053","OR","Polk County",52,81,1460,"pdx","pdx"
"21","41","005","41","057","OR","Tillamook County",51,83,2133,"pdx","pdx"
"22","41","005","53","061","WA","Snohomish County",49,89,2259,"pdx","puget_sound_area"
"23","41","005","06","065","CA","Riverside County",46,102,4054,"pdx","pdx"
"24","41","005","04","019","AZ","Pima County",44,95,2846,"pdx","pdx"
"25","41","005","41","043","OR","Linn County",42,83,1570,"pdx","pdx"
