"","X1.x","id.x","id2.x","county","gini","margin_error.x","year","med_house","avg_house","X1.y","id.y","id2.y","median_age","margin_error.y","median_age_male","me_m","median_age_female","me_f","total_pop","blue_prop","white_prop","business","civil_servant","healthcare","production","service","tech","class_diff","tech_biz","mult","wash","clack","med_housing_change","avg_housing_change"
"1",1,"0500000US41005",41005,"Clackamas",0.418,0.013,2008,361726.5,436771.123833453,1,"0500000US41005",41005,39.4,0.6,38.4,0.4,40.6,0.6,198551,0.482052470146209,0.470735478542037,0.245045353586736,0.0262350731046431,0.0794153643144583,0.176533988748483,0.275934142865057,0.0486675967383695,0.011316991604172,0.293712950325105,0,0,1,5878.5,-5152.7812078452
"2",4,"0500000US41005",41005,"Clackamas",0.444,0.018,2009,369605,433618.342625608,4,"0500000US41005",41005,39.9,0.4,39,0.5,40.8,0.4,182299,0.466563173687184,0.495389442618994,0.260122107087806,0.0256775955984399,0.0822220637524068,0.163407369212119,0.278904437215783,0.050938293682357,-0.02882626893181,0.311060400770163,0,0,1,7878.5,-3152.7812078452
"3",7,"0500000US41005",41005,"Clackamas",0.428,0.011,2010,376203,438832.856166511,7,"0500000US41005",41005,40.5,0.4,39.9,0.5,41.3,0.6,174392,0.491157851277582,0.432869627047112,0.217469838065966,0.0175696132850131,0.0730882150557365,0.145912656543878,0.284026790219735,0.0430753704298362,0.05828822423047,0.260545208495802,0,0,1,6598,5214.51354090357
"4",10,"0500000US41005",41005,"Clackamas",0.4604,0.0203,2011,377937,449980.516671336,10,"0500000US41005",41005,40.9,0.5,39.3,0.6,42.6,0.6,170639,0.495220904951389,0.447125217564566,0.243262091315584,0.0166667643387502,0.0723281313181629,0.138825239247769,0.29021501532475,0.0450131564296556,0.048095687386823,0.28827524774524,0,0,1,1734,11147.6605048251
"5",13,"0500000US41005",41005,"Clackamas",0.4332,0.0123,2012,388605,467003.319705642,13,"0500000US41005",41005,41.4,0.5,40.2,0.7,42.5,0.5,182670,0.494328570646521,0.42665462309082,0.203454316527071,0.0121694859582854,0.0757924125472163,0.155192423495922,0.291536650791044,0.0447528329775004,0.0676739475557011,0.248207149504571,0,0,1,10668,NA
"6",16,"0500000US41005",41005,"Clackamas",0.4418,0.0161,2013,389150.5,455794.623153555,16,"0500000US41005",41005,41.4,0.5,40,0.6,42.7,0.4,185336,0.48352181982993,0.446901843138948,0.214437562049467,0.0126041351922994,0.0827847800751068,0.158744118789658,0.278165062373203,0.0480370786031856,0.036619976690982,0.262474640652653,0,0,1,545.5,-11208.6965520864
"7",19,"0500000US41005",41005,"Clackamas",0.4403,0.0132,2014,376655,440675.114198005,19,"0500000US41005",41005,41.5,0.4,39.7,0.5,43,0.4,191597,0.493264508316936,0.434657118848416,0.209543990772298,0.0134814219429323,0.0687484668340319,0.166218677745476,0.294722777496516,0.0456478963658095,0.05860738946852,0.255191887138107,0,0,1,-12495.5,NA
"8",22,"0500000US41005",41005,"Clackamas",0.4466,0.0146,2015,376203,440005.894766272,22,"0500000US41005",41005,41.5,0.5,39.9,0.6,43,0.5,199068,0.499156067273494,0.432696365061185,0.193783028914743,0.0146532843048607,0.0984387244559648,0.148280989410654,0.303655032451223,0.0501989269998192,0.066459702212309,0.243981955914562,0,0,1,-452,-669.219431733072
"9",25,"0500000US41005",41005,"Clackamas",0.4488,0.0176,2016,368825,433404.327356911,25,"0500000US41005",41005,41.3,0.4,40.4,0.5,42.3,0.6,204222,0.485941769251109,0.448433567392348,0.207254850114092,0.0144695478449922,0.0835365435653358,0.175005631126911,0.271836530834092,0.0460675147633458,0.037508201858761,0.253322364877438,0,0,1,-7378,-6601.5674093609
"10",2,"0500000US41051",41051,"Multnomah",0.467,0.011,2008,393325,445485.912147019,2,"0500000US41051",41051,37.2,0.3,36.6,0.4,37.9,0.4,372271,0.467844661550322,0.496090213849588,0.219796868410378,0.0391623306677125,0.0733659081690489,0.215165833492268,0.266939944287898,0.0515565273685031,-0.028245552299266,0.271353395778881,1,0,0,-7810,-6586.71407331747
"11",5,"0500000US41051",41051,"Multnomah",0.457,0.011,2009,387515,440899.198073702,5,"0500000US41051",41051,35.3,0.1,34.9,0.1,35.8,0.3,369517,0.448631592051245,0.514631261890522,0.223924745004966,0.0342744718104986,0.0782210290730873,0.215294560196148,0.262986547303642,0.0619024293875519,-0.065999669839277,0.285827174392518,1,0,0,-5810,-4586.71407331747
