"","job","job_class","job_type","year","population","n_city","job_prop","job_type_n","job_type_prop","job_class_n","job_class_prop"
"1"," Agricultural workers","blue_collar","production",2010,1894612,3629,0.00191543176122605,309522,0.163369597574596,865244,0.45668664613124
"2"," Agricultural workers","blue_collar","production",2011,1813740,3667,0.00202178923109156,277751,0.153137164091876,829037,0.457087013574162
"3"," Agricultural workers","blue_collar","production",2012,1998829,4472,0.00223730994497278,327093,0.163642312574012,922131,0.461335612000827
"4"," Agricultural workers","blue_collar","production",2013,2024593,4992,0.00246568075657675,331157,0.163567195974697,922443,0.455618981197702
"5"," Agricultural workers","blue_collar","production",2014,2090871,5111,0.00244443583559196,340474,0.162838357794431,948478,0.453628176965485
"6"," Agricultural workers","blue_collar","production",2015,2134655,5859,0.00274470581897309,349043,0.163512605081383,964192,0.451685166923929
"7"," Agricultural workers","blue_collar","production",2016,2203257,5542,0.00251536702254889,356677,0.161886243865332,959708,0.435586043752499
"8"," Air transportation workers","blue_collar","production",2006,1890899,3658,0.0019345295544606,328772,0.173870735560175,874006,0.46221717817821
"9"," Air transportation workers","blue_collar","production",2007,1932916,3375,0.00174606656471362,335566,0.173606095660649,890284,0.460591148296149
"10"," Air transportation workers","blue_collar","production",2008,1980276,4070,0.00205526906350428,350305,0.176897058793825,904571,0.456790366595363
"11"," Air transportation workers","blue_collar","production",2009,1928151,3542,0.00183699305707904,337613,0.175096763687076,853909,0.442864174019566
"12"," Air transportation workers","blue_collar","transportation",2010,1894612,4772,0.00251872151131736,94907,0.0500931061346598,865244,0.45668664613124
"13"," Air transportation workers","blue_collar","transportation",2011,1813740,5689,0.00313661274493588,96398,0.0531487423776285,829037,0.457087013574162
"14"," Air transportation workers","blue_collar","transportation",2012,1998829,5123,0.00256300063687289,109747,0.0549056472564687,922131,0.461335612000827
"15"," Air transportation workers","blue_collar","transportation",2013,2024593,6791,0.00335425441063957,106892,0.0527967843413466,922443,0.455618981197702
"16"," Air transportation workers","blue_collar","transportation",2014,2090871,6289,0.00300783740364661,114833,0.0549211309545161,948478,0.453628176965485
"17"," Air transportation workers","blue_collar","transportation",2015,2134655,7762,0.00363618476990427,120064,0.0562451543692072,964192,0.451685166923929
"18"," Air transportation workers","blue_collar","transportation",2016,2203257,6621,0.00300509654570484,129918,0.0589663393784747,959708,0.435586043752499
"19"," Architecture and engineering occupations:","white_collar","tech",2006,1890899,56339,0.0297948224627545,140990,0.0745624171359761,953738,0.504383364738148
"20"," Architecture and engineering occupations:","white_collar","tech",2007,1932916,63452,0.0328270861227286,150206,0.0777095331612962,981497,0.507780472612364
"21"," Architecture and engineering occupations:","white_collar","tech",2008,1980276,63223,0.0319263577400322,154242,0.0778891427255595,1007380,0.508706867123573
"22"," Architecture and engineering occupations:","white_collar","tech",2009,1928151,60321,0.0312843755494253,158925,0.0824235238837622,1005970,0.521727810736815
"23"," Architecture and engineering occupations:","white_collar","tech",2010,1894612,58099,0.0306653816190333,156725,0.0827214226448476,912653,0.481709711539883
"24"," Architecture and engineering occupations:","white_collar","tech",2011,1813740,56110,0.0309360768357096,155261,0.0856026773407434,869673,0.479491547851401
"25"," Architecture and engineering occupations:","white_collar","tech",2012,1998829,60824,0.0304298166576531,168420,0.0842593338399633,959323,0.479942506337461
"26"," Architecture and engineering occupations:","white_collar","tech",2013,2024593,60438,0.0298519257944683,177395,0.0876200796900908,983559,0.485805789114158
"27"," Architecture and engineering occupations:","white_collar","tech",2014,2090871,61353,0.0293432736883337,182984,0.0875156812639326,1022489,0.489025387027703
"28"," Architecture and engineering occupations:","white_collar","tech",2015,2134655,64609,0.0302667175726288,193965,0.0908648001667717,1055575,0.494494426499833
"29"," Architecture and engineering occupations:","white_collar","tech",2016,2203257,72569,0.0329371471417088,206742,0.0938347183283657,1108738,0.503226813757995
"30"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2006,1890899,44046,0.0232936819999376,328772,0.173870735560175,953738,0.504383364738148
"31"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2007,1932916,42089,0.0217748727828835,335566,0.173606095660649,981497,0.507780472612364
"32"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2008,1980276,46954,0.0237108362672678,350305,0.176897058793825,1007380,0.508706867123573
"33"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2009,1928151,46929,0.0243388614273467,337613,0.175096763687076,1005970,0.521727810736815
"34"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2010,1894612,45606,0.0240714193724098,309522,0.163369597574596,912653,0.481709711539883
"35"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2011,1813740,38935,0.0214666931313198,277751,0.153137164091876,869673,0.479491547851401
"36"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2012,1998829,47583,0.0238054380839982,327093,0.163642312574012,959323,0.479942506337461
"37"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2013,2024593,48571,0.0239905008068288,331157,0.163567195974697,983559,0.485805789114158
"38"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2014,2090871,50577,0.0241894406685061,340474,0.162838357794431,1022489,0.489025387027703
"39"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2015,2134655,52865,0.0247651259805449,349043,0.163512605081383,1055575,0.494494426499833
"40"," Arts, design, entertainment, sports, and media occupations:","white_collar","production",2016,2203257,54929,0.0249308183294096,356677,0.161886243865332,1108738,0.503226813757995
"41"," Assemblers and fabricators","blue_collar","construction\contracting",2006,1890899,14765,0.0078084551316596,142043,0.0751192951077768,874006,0.46221717817821
"42"," Assemblers and fabricators","blue_collar","construction\contracting",2007,1932916,12475,0.00645397937623777,128274,0.0663629459324668,890284,0.460591148296149
"43"," Assemblers and fabricators","blue_collar","construction\contracting",2008,1980276,13526,0.00683036102038302,137656,0.0695135425566941,904571,0.456790366595363
"44"," Assemblers and fabricators","blue_collar","construction\contracting",2009,1928151,10185,0.00528226264436758,125061,0.0648605840517677,853909,0.442864174019566
"45"," Assemblers and fabricators","blue_collar","production",2010,1894612,11005,0.00580857716513988,309522,0.163369597574596,865244,0.45668664613124
"46"," Assemblers and fabricators","blue_collar","production",2011,1813740,11567,0.00637743006164059,277751,0.153137164091876,829037,0.457087013574162
"47"," Assemblers and fabricators","blue_collar","production",2012,1998829,14222,0.00711516592965181,327093,0.163642312574012,922131,0.461335612000827
"48"," Assemblers and fabricators","blue_collar","production",2013,2024593,15076,0.00744643491309117,331157,0.163567195974697,922443,0.455618981197702
"49"," Assemblers and fabricators","blue_collar","production",2014,2090871,13168,0.00629785386090294,340474,0.162838357794431,948478,0.453628176965485
"50"," Assemblers and fabricators","blue_collar","production",2015,2134655,16255,0.0076148136349902,349043,0.163512605081383,964192,0.451685166923929
"51"," Assemblers and fabricators","blue_collar","production",2016,2203257,14405,0.00653804798986228,356677,0.161886243865332,959708,0.435586043752499
"52"," Baggage porters and concierges, and tour and travel guides","blue_collar","service",2010,1894612,1215,0.000641292254034071,518182,0.273502965250933,865244,0.45668664613124
"53"," Baggage porters and concierges, and tour and travel guides","blue_collar","service",2011,1813740,1175,0.000647832655176596,500742,0.276082569717821,829037,0.457087013574162
"54"," Baggage porters and concierges, and tour and travel guides","blue_collar","service",2012,1998829,1561,0.00078095725047015,544383,0.272350961487951,922131,0.461335612000827
"55"," Baggage porters and concierges, and tour and travel guides","blue_collar","service",2013,2024593,1796,0.000887091874761989,548512,0.270924575951809,922443,0.455618981197702
"56"," Baggage porters and concierges, and tour and travel guides","blue_collar","service",2014,2090871,2503,0.00119710876472054,565044,0.270243357911607,948478,0.453628176965485
"57"," Baggage porters and concierges, and tour and travel guides","blue_collar","service",2015,2134655,1923,0.000900848146421787,566655,0.265455073536473,964192,0.451685166923929
"58"," Baggage porters and concierges, and tour and travel guides","blue_collar","service",2016,2203257,1954,0.000886868849162853,552830,0.250914895538741,959708,0.435586043752499
"59"," Bookkeeping, accounting, and auditing clerks","blue_collar","service",2006,1890899,22401,0.0118467459129229,508925,0.269144465145944,874006,0.46221717817821
"60"," Bookkeeping, accounting, and auditing clerks","blue_collar","service",2007,1932916,21406,0.0110744595212622,525792,0.272020098131528,890284,0.460591148296149
"61"," Bookkeeping, accounting, and auditing clerks","blue_collar","service",2008,1980276,23297,0.0117645217131349,525773,0.265504909416667,904571,0.456790366595363
"62"," Bookkeeping, accounting, and auditing clerks","blue_collar","service",2009,1928151,21690,0.0112491189746031,498458,0.258516060204828,853909,0.442864174019566
"63"," Bookkeeping, accounting, and auditing clerks","white_collar","business",2010,1894612,18516,0.00977297726394639,400373,0.211321895987147,912653,0.481709711539883
"64"," Bookkeeping, accounting, and auditing clerks","white_collar","business",2011,1813740,21173,0.011673668772812,380651,0.209870764277129,869673,0.479491547851401
"65"," Bookkeeping, accounting, and auditing clerks","white_collar","business",2012,1998829,19630,0.00982075004915378,411100,0.205670420030928,959323,0.479942506337461
"66"," Bookkeeping, accounting, and auditing clerks","white_collar","business",2013,2024593,19772,0.00976591344531963,424180,0.209513714608319,983559,0.485805789114158
"67"," Bookkeeping, accounting, and auditing clerks","white_collar","business",2014,2090871,18363,0.00878246434141561,441645,0.211225369714344,1022489,0.489025387027703
"68"," Bookkeeping, accounting, and auditing clerks","white_collar","business",2015,2134655,16549,0.00775254080870211,453622,0.212503659841989,1055575,0.494494426499833
"69"," Bookkeeping, accounting, and auditing clerks","white_collar","business",2016,2203257,20037,0.00909426362880045,482261,0.218885495427905,1108738,0.503226813757995
"70"," Building cleaning and pest control workers","blue_collar","service",2010,1894612,43666,0.0230474630161743,518182,0.273502965250933,865244,0.45668664613124
"71"," Building cleaning and pest control workers","blue_collar","service",2011,1813740,40949,0.0225771058696395,500742,0.276082569717821,829037,0.457087013574162
"72"," Building cleaning and pest control workers","blue_collar","service",2012,1998829,46556,0.023291637253612,544383,0.272350961487951,922131,0.461335612000827
"73"," Building cleaning and pest control workers","blue_collar","service",2013,2024593,42275,0.0208807399808258,548512,0.270924575951809,922443,0.455618981197702
"74"," Building cleaning and pest control workers","blue_collar","service",2014,2090871,50875,0.0243319650040581,565044,0.270243357911607,948478,0.453628176965485
"75"," Building cleaning and pest control workers","blue_collar","service",2015,2134655,44724,0.0209513949560936,566655,0.265455073536473,964192,0.451685166923929
"76"," Building cleaning and pest control workers","blue_collar","service",2016,2203257,46002,0.0208790894571083,552830,0.250914895538741,959708,0.435586043752499
"77"," Bus drivers","blue_collar","production",2006,1890899,9136,0.00483156424536689,328772,0.173870735560175,874006,0.46221717817821
"78"," Bus drivers","blue_collar","production",2007,1932916,9077,0.00469601369123128,335566,0.173606095660649,890284,0.460591148296149
"79"," Bus drivers","blue_collar","production",2008,1980276,11010,0.0055598310538531,350305,0.176897058793825,904571,0.456790366595363
"80"," Bus drivers","blue_collar","production",2009,1928151,9158,0.0047496280114991,337613,0.175096763687076,853909,0.442864174019566
"81"," Bus drivers","blue_collar","transportation",2010,1894612,9894,0.00522217741680091,94907,0.0500931061346598,865244,0.45668664613124
"82"," Bus drivers","blue_collar","transportation",2011,1813740,8816,0.00486067462811649,96398,0.0531487423776285,829037,0.457087013574162
"83"," Bus drivers","blue_collar","transportation",2012,1998829,9468,0.00473677338081447,109747,0.0549056472564687,922131,0.461335612000827
"84"," Bus drivers","blue_collar","transportation",2013,2024593,9252,0.00456980736375163,106892,0.0527967843413466,922443,0.455618981197702
"85"," Bus drivers","blue_collar","transportation",2014,2090871,10603,0.00507109238207426,114833,0.0549211309545161,948478,0.453628176965485
"86"," Bus drivers","blue_collar","transportation",2015,2134655,9857,0.00461760799754527,120064,0.0562451543692072,964192,0.451685166923929
"87"," Bus drivers","blue_collar","transportation",2016,2203257,8515,0.0038647329839415,129918,0.0589663393784747,959708,0.435586043752499
"88"," Business and financial operations occupations:","white_collar","business",2006,1890899,101540,0.0536993250300518,471052,0.24911536787528,953738,0.504383364738148
"89"," Business and financial operations occupations:","white_collar","business",2007,1932916,105828,0.0547504392327447,479439,0.248039231916959,981497,0.507780472612364
"90"," Business and financial operations occupations:","white_collar","business",2008,1980276,104582,0.052811830270124,491395,0.248144703061593,1007380,0.508706867123573
"91"," Business and financial operations occupations:","white_collar","business",2009,1928151,94495,0.0490080911712827,472577,0.245093356277594,1005970,0.521727810736815
"92"," Business and financial operations occupations:","white_collar","business",2010,1894612,106884,0.0564147171030269,400373,0.211321895987147,912653,0.481709711539883
"93"," Business and financial operations occupations:","white_collar","business",2011,1813740,103049,0.0568157508793984,380651,0.209870764277129,869673,0.479491547851401
"94"," Business and financial operations occupations:","white_collar","business",2012,1998829,110253,0.0551587954747505,411100,0.205670420030928,959323,0.479942506337461
"95"," Business and financial operations occupations:","white_collar","business",2013,2024593,118047,0.0583065337082564,424180,0.209513714608319,983559,0.485805789114158
"96"," Business and financial operations occupations:","white_collar","business",2014,2090871,121504,0.0581116673386354,441645,0.211225369714344,1022489,0.489025387027703
"97"," Business and financial operations occupations:","white_collar","business",2015,2134655,122569,0.0574186461044056,453622,0.212503659841989,1055575,0.494494426499833
"98"," Business and financial operations occupations:","white_collar","business",2016,2203257,133698,0.0606819812668245,482261,0.218885495427905,1108738,0.503226813757995
"99"," Carpenters","blue_collar","construction\contracting",2010,1894612,20298,0.0107135392365297,136436,0.0720126337213108,865244,0.45668664613124
"100"," Carpenters","blue_collar","construction\contracting",2011,1813740,15596,0.00859880688522059,123972,0.0683515829170664,829037,0.457087013574162
"101"," Carpenters","blue_collar","construction\contracting",2012,1998829,15864,0.00793664690676391,137415,0.068747751808684,922131,0.461335612000827
"102"," Carpenters","blue_collar","construction\contracting",2013,2024593,15177,0.0074963214828857,135452,0.0669033232852232,922443,0.455618981197702
"103"," Carpenters","blue_collar","construction\contracting",2014,2090871,18243,0.00872507199152889,138084,0.0660413770146508,948478,0.453628176965485
"104"," Carpenters","blue_collar","construction\contracting",2015,2134655,18843,0.00882718753147464,150086,0.0703092537201562,964192,0.451685166923929
"105"," Carpenters","blue_collar","construction\contracting",2016,2203257,21179,0.0096125871834289,148581,0.0674369807970654,959708,0.435586043752499
