"","X1","origin_area","dest_area","year","n"
"1",1,"pdx","pdx","2015",59177
"2",2,"pdx","puget_sound_area","2015",6994
"3",3,"pdx","bay_area","2015",1266
"4",1,"pdx","pdx","2014",38925
"5",2,"pdx","puget_sound_area","2014",5066
"6",3,"pdx","bay_area","2014",848
"7",1,"pdx","pdx","2013",52803
"8",2,"pdx","puget_sound_area","2013",6509
"9",3,"pdx","bay_area","2013",1289
"10",1,"pdx","pdx","2012",59286
"11",2,"pdx","puget_sound_area","2012",7178
"12",3,"pdx","bay_area","2012",1809
"13",1,"pdx","pdx","2011",56657
"14",2,"pdx","puget_sound_area","2011",6749
"15",3,"pdx","bay_area","2011",1758
"16",1,"pdx","pdx","2010",49451
"17",2,"pdx","puget_sound_area","2010",6169
"18",3,"pdx","bay_area","2010",1355
"19",1,"pdx","pdx","2009",49568
"20",2,"pdx","puget_sound_area","2009",5704
"21",3,"pdx","bay_area","2009",1185
"22",1,"pdx","pdx","2008",50218
"23",2,"pdx","puget_sound_area","2008",6259
"24",3,"pdx","bay_area","2008",1328
