"","origin_area","dest_area","year","n"
"1","pdx","pdx","2015",30598
"2","pdx","other","2015",22310
"3","pdx","puget_sound_area","2015",3425
"4","pdx","bay_area","2015",1242
"5","pdx","pdx","2014",21368
"6","pdx","other","2014",13491
"7","pdx","puget_sound_area","2014",2382
"8","pdx","bay_area","2014",826
"9","pdx","pdx","2013",26883
"10","pdx","other","2013",19894
"11","pdx","puget_sound_area","2013",3154
"12","pdx","bay_area","2013",1249
"13","pdx","pdx","2012",28326
"14","pdx","other","2012",23539
"15","pdx","puget_sound_area","2012",3436
"16","pdx","bay_area","2012",1698
"17","pdx","pdx","2011",26544
"18","pdx","other","2011",22539
"19","pdx","puget_sound_area","2011",3235
"20","pdx","bay_area","2011",1623
"21","pdx","pdx","2010",23599
"22","pdx","other","2010",19299
"23","pdx","puget_sound_area","2010",2943
"24","pdx","bay_area","2010",1305
"25","pdx","pdx","2009",24639
"26","pdx","other","2009",18812
"27","pdx","puget_sound_area","2009",2781
"28","pdx","bay_area","2009",1110
"29","pdx","pdx","2008",23891
"30","pdx","other","2008",19887
"31","pdx","puget_sound_area","2008",3030
"32","pdx","bay_area","2008",1250
