"","origin","destinations","tax_year","n","year","total","prop"
"1","bay_area","bay_area","1516",96026,"2015",191097,0.502498731010953
"2","puget_sound_area","puget_sound_area","1516",51644,"2015",100221,0.515301184382515
"3","bay_area","CA","1516",37785,"2015",191097,0.197726808898099
"4","bay_area","LA","1516",14418,"2015",191097,0.0754485941694532
"5","puget_sound_area","WA","1516",10591,"2015",100221,0.105676455034374
"6","bay_area","TX","1516",4874,"2015",191097,0.0255053716175555
"7","bay_area","puget_sound_area","1516",4404,"2015",191097,0.0230458876905446
"8","puget_sound_area","LA","1516",3969,"2015",100221,0.0396024785224654
"9","bay_area","NY","1516",3924,"2015",191097,0.0205340743182782
"10","bay_area","NV","1516",3517,"2015",191097,0.0184042658963772
"11","bay_area","pdx","1516",3189,"2015",191097,0.0166878600919952
"12","puget_sound_area","bay_area","1516",3175,"2015",100221,0.0316799872282256
"13","puget_sound_area","pdx","1516",2969,"2015",100221,0.0296245297891659
"14","puget_sound_area","AZ","1516",2898,"2015",100221,0.0289160954291017
"15","puget_sound_area","TX","1516",2810,"2015",100221,0.0280380359405713
"16","bay_area","AZ","1516",2563,"2015",191097,0.0134120368189977
"17","puget_sound_area","CA","1516",2415,"2015",100221,0.0240967461909181
"18","bay_area","OR","1516",1973,"2015",191097,0.0103245995489202
"19","bay_area","CO","1516",1970,"2015",191097,0.0103089007153435
"20","puget_sound_area","OR","1516",1597,"2015",100221,0.0159347841270792
"21","bay_area","IL","1516",1526,"2015",191097,0.00798547334599706
"22","bay_area","MA","1516",1381,"2015",191097,0.00722669638979157
"23","bay_area","FL","1516",1285,"2015",191097,0.00672433371533828
"24","puget_sound_area","HI","1516",1265,"2015",100221,0.0126221051476238
"25","puget_sound_area","FL","1516",1228,"2015",100221,0.0122529210444917
"26","puget_sound_area","CO","1516",1199,"2015",100221,0.011963560531226
"27","puget_sound_area","NY","1516",1106,"2015",100221,0.0110356112990291
"28","puget_sound_area","NV","1516",1082,"2015",100221,0.01079614052943
"29","bay_area","HI","1516",1024,"2015",191097,0.00535853519416841
"30","puget_sound_area","ID","1516",894,"2015",100221,0.00892028616756967
"31","puget_sound_area","UT","1516",768,"2015",100221,0.00766306462717395
"32","bay_area","NC","1516",744,"2015",191097,0.00389331072701298
"33","puget_sound_area","NC","1516",738,"2015",100221,0.00736372616517496
"34","bay_area","GA","1516",732,"2015",191097,0.00383051539270632
"35","bay_area","UT","1516",724,"2015",191097,0.00378865183650188
"36","puget_sound_area","IL","1516",717,"2015",100221,0.00715418924177568
"37","puget_sound_area","GA","1516",691,"2015",100221,0.00689476257470989
"38","puget_sound_area","VA","1516",674,"2015",100221,0.0067251374462438
"39","bay_area","ID","1516",622,"2015",191097,0.00325489149489526
"40","bay_area","PA","1516",616,"2015",191097,0.00322349382774193
"41","bay_area","DC","1516",576,"2015",191097,0.00301417604671973
"42","puget_sound_area","AK","1516",536,"2015",100221,0.00534818052104848
"43","puget_sound_area","MA","1516",487,"2015",100221,0.00485926103311681
"44","bay_area","VA","1516",436,"2015",191097,0.00228156381314202
"45","bay_area","MD","1516",423,"2015",191097,0.0022135355343098
"46","puget_sound_area","MT","1516",417,"2015",100221,0.00416080462178585
"47","bay_area","MI","1516",400,"2015",191097,0.00209317781022203
"48","puget_sound_area","MD","1516",387,"2015",100221,0.00386146615978687
"49","bay_area","NJ","1516",383,"2015",191097,0.0020042177532876
"50","bay_area","MN","1516",378,"2015",191097,0.00197805303065982
"51","bay_area","OH","1516",346,"2015",191097,0.00181059880584206
"52","puget_sound_area","MN","1516",323,"2015",100221,0.00322287744085571
"53","puget_sound_area","TN","1516",277,"2015",100221,0.00276389179912394
"54","bay_area","WA","1516",271,"2015",191097,0.00141812796642543
"55","puget_sound_area","MI","1516",255,"2015",100221,0.00254437692699135
"56","puget_sound_area","OK","1516",255,"2015",100221,0.00254437692699135
"57","puget_sound_area","PA","1516",255,"2015",100221,0.00254437692699135
"58","puget_sound_area","MO","1516",254,"2015",100221,0.00253439897825805
"59","puget_sound_area","SC","1516",254,"2015",100221,0.00253439897825805
"60","bay_area","CT","1516",247,"2015",191097,0.00129253729781211
"61","puget_sound_area","NJ","1516",243,"2015",100221,0.00242464154219176
"62","bay_area","TN","1516",230,"2015",191097,0.00120357724087767
"63","puget_sound_area","OH","1516",210,"2015",100221,0.00209536923399288
"64","puget_sound_area","DC","1516",205,"2015",100221,0.00204547949032638
"65","puget_sound_area","KS","1516",187,"2015",100221,0.00186587641312699
"66","bay_area","NM","1516",184,"2015",191097,0.000962861792702136
"67","bay_area","WI","1516",176,"2015",191097,0.000920998236497695
"68","puget_sound_area","CT","1516",166,"2015",100221,0.0016563394897277
"69","puget_sound_area","WI","1516",153,"2015",100221,0.00152662615619481
"70","puget_sound_area","NM","1516",147,"2015",100221,0.00146675846379501
"71","bay_area","MO","1516",145,"2015",191097,0.000758776956205487
"72","puget_sound_area","KY","1516",118,"2015",100221,0.00117739795052933
