"","y1_statefips","y1_countyfips","y2_statefips","y2_countyfips","y2_state","y2_countyname","n1","n2","agi","origin_area","dest_area"
"1","06","001","06","013","CA","Contra Costa County",8147,15691,745148,"bay_area","bay_area"
"2","06","001","06","085","CA","Santa Clara County",4096,7309,490555,"bay_area","bay_area"
"3","06","001","06","075","CA","San Francisco County",3201,4102,442260,"bay_area","bay_area"
"4","06","001","06","077","CA","San Joaquin County",2994,7184,194359,"bay_area","CA"
"5","06","001","06","081","CA","San Mateo County",1956,3403,194238,"bay_area","bay_area"
"6","06","001","06","037","CA","Los Angeles County",1821,2592,124796,"bay_area","LA"
"7","06","001","06","067","CA","Sacramento County",1563,2980,84582,"bay_area","CA"
"8","06","001","06","095","CA","Solano County",1098,2093,64291,"bay_area","bay_area"
"9","06","001","06","099","CA","Stanislaus County",845,1914,39346,"bay_area","CA"
"10","06","001","06","073","CA","San Diego County",763,1278,68723,"bay_area","CA"
"11","06","001","53","033","WA","King County",643,1112,65546,"bay_area","puget_sound"
"12","06","001","06","059","CA","Orange County",579,965,52911,"bay_area","LA"
"13","06","001","06","097","CA","Sonoma County",531,822,40843,"bay_area","bay_area"
"14","06","001","41","051","OR","Multnomah County",453,668,33960,"bay_area","pdx"
"15","06","001","32","003","NV","Clark County",446,850,24443,"bay_area","NV"
"16","06","001","06","041","CA","Marin County",416,645,39755,"bay_area","bay_area"
"17","06","001","06","061","CA","Placer County",384,745,40061,"bay_area","CA"
"18","06","001","04","013","AZ","Maricopa County",360,627,26396,"bay_area","AZ"
"19","06","001","36","061","NY","New York County",301,379,30016,"bay_area","NY"
"20","06","001","06","087","CA","Santa Cruz County",287,418,22391,"bay_area","bay_area"
"21","06","001","17","031","IL","Cook County",287,427,21664,"bay_area","IL"
"22","06","001","06","065","CA","Riverside County",282,508,23829,"bay_area","LA"
"23","06","001","32","031","NV","Washoe County",280,518,40573,"bay_area","NV"
"24","06","001","36","047","NY","Kings County",280,342,17117,"bay_area","NY"
"25","06","001","48","453","TX","Travis County",271,479,23486,"bay_area","TX"
"26","06","001","06","113","CA","Yolo County",233,387,13987,"bay_area","CA"
"27","06","001","06","019","CA","Fresno County",222,446,10803,"bay_area","CA"
"28","06","001","06","017","CA","El Dorado County",221,438,24602,"bay_area","CA"
"29","06","001","06","071","CA","San Bernardino County",207,403,10072,"bay_area","LA"
"30","06","001","25","017","MA","Middlesex County",184,272,15295,"bay_area","MA"
"31","06","001","48","201","TX","Harris County",178,346,12623,"bay_area","TX"
"32","06","001","06","053","CA","Monterey County",175,312,13972,"bay_area","CA"
"33","06","001","48","113","TX","Dallas County",172,350,15420,"bay_area","TX"
"34","06","001","11","001","DC","District of Columbia",151,197,10994,"bay_area","DC"
"35","06","001","06","055","CA","Napa County",150,245,14437,"bay_area","bay_area"
"36","06","001","41","067","OR","Washington County",150,281,11955,"bay_area","pdx"
"37","06","001","15","003","HI","Honolulu County",145,245,10703,"bay_area","HI"
"38","06","001","06","111","CA","Ventura County",129,221,9886,"bay_area","LA"
"39","06","001","06","057","CA","Nevada County",128,215,12132,"bay_area","CA"
"40","06","001","06","007","CA","Butte County",125,184,8179,"bay_area","CA"
"41","06","001","06","079","CA","San Luis Obispo County",124,194,11884,"bay_area","CA"
"42","06","001","08","031","CO","Denver County",124,182,11914,"bay_area","CO"
"43","06","001","06","083","CA","Santa Barbara County",123,168,6829,"bay_area","CA"
"44","06","001","16","001","ID","Ada County",120,257,17803,"bay_area","ID"
"45","06","001","06","047","CA","Merced County",117,283,5488,"bay_area","CA"
"46","06","001","13","121","GA","Fulton County",115,191,9675,"bay_area","GA"
"47","06","001","48","085","TX","Collin County",113,308,15790,"bay_area","TX"
"48","06","001","49","035","UT","Salt Lake County",110,228,10027,"bay_area","UT"
"49","06","001","06","029","CA","Kern County",93,173,4475,"bay_area","CA"
"50","06","001","53","053","WA","Pierce County",90,180,6441,"bay_area","puget_sound"
"51","06","001","27","053","MN","Hennepin County",88,130,6821,"bay_area","MN"
"52","06","001","06","009","CA","Calaveras County",87,156,8413,"bay_area","CA"
"53","06","001","41","039","OR","Lane County",83,130,5181,"bay_area","OR"
"54","06","001","06","045","CA","Mendocino County",82,122,6974,"bay_area","CA"
"55","06","001","06","023","CA","Humboldt County",81,119,3740,"bay_area","CA"
"56","06","001","06","089","CA","Shasta County",80,141,5171,"bay_area","CA"
"57","06","001","37","119","NC","Mecklenburg County",80,179,7329,"bay_area","NC"
"58","06","001","41","029","OR","Jackson County",80,152,7047,"bay_area","OR"
"59","06","001","06","109","CA","Tuolumne County",79,142,5211,"bay_area","CA"
"60","06","001","25","025","MA","Suffolk County",79,105,9968,"bay_area","MA"
"61","06","001","37","183","NC","Wake County",79,178,8560,"bay_area","NC"
"62","06","001","51","059","VA","Fairfax County",79,153,10198,"bay_area","VA"
"63","06","001","53","061","WA","Snohomish County",77,149,6042,"bay_area","puget_sound"
"64","06","001","36","081","NY","Queens County",76,103,3885,"bay_area","NY"
"65","06","001","48","491","TX","Williamson County",76,190,8398,"bay_area","TX"
"66","06","001","42","101","PA","Philadelphia County",74,89,3216,"bay_area","PA"
"67","06","001","41","005","OR","Clackamas County",73,161,8222,"bay_area","OR"
"68","06","001","48","029","TX","Bexar County",73,122,3947,"bay_area","TX"
"69","06","001","53","011","WA","Clark County",70,138,7244,"bay_area","pdx"
"70","06","001","48","121","TX","Denton County",69,187,8071,"bay_area","TX"
"71","06","001","24","031","MD","Montgomery County",67,116,7353,"bay_area","MD"
"72","06","001","48","439","TX","Tarrant County",67,153,5695,"bay_area","TX"
"73","06","001","08","005","CO","Arapahoe County",65,111,3777,"bay_area","CO"
"74","06","001","04","019","AZ","Pima County",64,99,4515,"bay_area","AZ"
"75","06","001","39","049","OH","Franklin County",63,130,3478,"bay_area","OH"
"76","06","001","08","013","CO","Boulder County",61,104,5856,"bay_area","CO"
"77","06","001","06","005","CA","Amador County",55,98,5070,"bay_area","CA"
"78","06","001","08","035","CO","Douglas County",53,132,9281,"bay_area","CO"
"79","06","001","42","003","PA","Allegheny County",53,85,3528,"bay_area","PA"
"80","06","001","08","059","CO","Jefferson County",52,92,6207,"bay_area","CO"
"81","06","001","12","086","FL","Miami-Dade County",51,76,2857,"bay_area","FL"
"82","06","001","35","001","NM","Bernalillo County",51,78,2460,"bay_area","NM"
"83","06","001","08","041","CO","El Paso County",50,89,4574,"bay_area","CO"
"84","06","001","26","161","MI","Washtenaw County",50,69,2860,"bay_area","MI"
"85","06","001","34","017","NJ","Hudson County",50,74,4425,"bay_area","NJ"
"86","06","001","41","017","OR","Deschutes County",50,93,4880,"bay_area","OR"
"87","06","001","06","107","CA","Tulare County",49,99,2838,"bay_area","CA"
"88","06","001","47","037","TN","Davidson County",49,76,5387,"bay_area","TN"
"89","06","001","12","057","FL","Hillsborough County",48,93,3906,"bay_area","FL"
"90","06","001","22","071","LA","Orleans Parish",47,53,2342,"bay_area","LA"
"91","06","001","12","011","FL","Broward County",45,75,5163,"bay_area","FL"
"92","06","001","13","089","GA","DeKalb County",45,72,3882,"bay_area","GA"
"93","06","001","48","157","TX","Fort Bend County",45,125,4508,"bay_area","TX"
"94","06","001","49","049","UT","Utah County",45,129,4547,"bay_area","UT"
"95","06","001","12","099","FL","Palm Beach County",44,72,3663,"bay_area","FL"
"96","06","001","26","125","MI","Oakland County",43,73,4421,"bay_area","MI"
"97","06","001","26","163","MI","Wayne County",43,97,3964,"bay_area","MI"
"98","06","001","13","135","GA","Gwinnett County",42,77,2833,"bay_area","GA"
"99","06","001","34","023","NJ","Middlesex County",42,96,4451,"bay_area","NJ"
"100","06","001","39","035","OH","Cuyahoga County",41,73,3537,"bay_area","OH"
"101","06","001","53","063","WA","Spokane County",41,74,2800,"bay_area","WA"
"102","06","001","53","073","WA","Whatcom County",41,70,3303,"bay_area","WA"
"103","06","001","09","009","CT","New Haven County",40,53,2703,"bay_area","CT"
"104","06","001","37","063","NC","Durham County",40,58,1925,"bay_area","NC"
"105","06","001","41","047","OR","Marion County",40,65,2654,"bay_area","OR"
"106","06","001","53","035","WA","Kitsap County",40,73,6824,"bay_area","puget_sound"
"107","06","001","53","067","WA","Thurston County",40,71,2518,"bay_area","puget_sound"
"108","06","001","06","033","CA","Lake County",39,66,1890,"bay_area","CA"
"109","06","001","15","001","HI","Hawaii County",39,73,3361,"bay_area","HI"
"110","06","001","15","009","HI","Maui County",38,54,3802,"bay_area","HI"
"111","06","001","24","510","MD","Baltimore city",38,49,1706,"bay_area","MD"
"112","06","001","51","013","VA","Arlington County",38,65,3440,"bay_area","VA"
"113","06","001","25","021","MA","Norfolk County",37,53,3632,"bay_area","MA"
"114","06","001","13","067","GA","Cobb County",36,55,1949,"bay_area","GA"
"115","06","001","06","069","CA","San Benito County",35,75,2854,"bay_area","bay_area"
"116","06","001","32","005","NV","Douglas County",35,63,2839,"bay_area","NV"
