"","y2_statefips","y2_countyfips","y1_statefips","y1_countyfips","y1_state","y1_countyname","n1","n2","agi","area"
"1","41","005","41","051","OR","Multnomah County",4700,8699,260594,"pdx"
"2","41","005","41","067","OR","Washington County",2076,3791,140210,"pdx"
"3","41","005","41","047","OR","Marion County",582,1156,25746,"oregon"
"4","41","005","53","011","WA","Clark County",561,1075,29474,"pdx"
"5","41","005","41","039","OR","Lane County",199,332,9602,"oregon"
"6","41","005","06","037","CA","Los Angeles County",176,331,14318,"LA"
"7","41","005","41","017","OR","Deschutes County",165,289,7339,"oregon"
"8","41","005","53","033","WA","King County",161,310,13648,"puget_sound"
"9","41","005","41","071","OR","Yamhill County",152,272,8212,"oregon"
"10","41","005","04","013","AZ","Maricopa County",142,257,9721,"AZ"
"11","41","005","41","003","OR","Benton County",128,166,4513,"oregon"
"12","41","005","06","073","CA","San Diego County",119,221,7141,"CA"
"13","41","005","41","043","OR","Linn County",85,143,2880,"oregon"
"14","41","005","41","029","OR","Jackson County",80,147,2365,"oregon"
"15","41","005","41","053","OR","Polk County",77,133,3856,"oregon"
"16","41","005","41","009","OR","Columbia County",73,138,4086,"oregon"
"17","41","005","06","059","CA","Orange County",72,139,7035,"LA"
"18","41","005","53","053","WA","Pierce County",72,133,4109,"puget_sound"
"19","41","005","06","085","CA","Santa Clara County",70,139,10038,"bay_area"
"20","41","005","41","041","OR","Lincoln County",63,100,2876,"oregon"
"21","41","005","32","003","NV","Clark County",62,134,5450,"NV"
"22","41","005","06","001","CA","Alameda County",57,124,5484,"bay_area"
"23","41","005","06","065","CA","Riverside County",57,123,3060,"LA"
"24","41","005","41","007","OR","Clatsop County",56,106,2657,"oregon"
"25","41","005","53","061","WA","Snohomish County",51,100,3536,"puget_sound"
"26","41","005","16","001","ID","Ada County",47,94,2247,"ID"
"27","41","005","06","067","CA","Sacramento County",45,87,4179,"CA"
"28","41","005","49","035","UT","Salt Lake County",45,88,2292,"UT"
"29","41","005","15","003","HI","Honolulu County",43,71,2269,"HI"
"30","41","005","41","057","OR","Tillamook County",41,67,550,"oregon"
"31","41","005","53","063","WA","Spokane County",38,69,2012,"WA"
"32","41","005","41","059","OR","Umatilla County",37,79,1742,"oregon"
"33","41","005","41","065","OR","Wasco County",37,62,1172,"oregon"
"34","41","005","06","013","CA","Contra Costa County",36,79,3754,"bay_area"
"35","41","005","41","019","OR","Douglas County",36,67,1370,"oregon"
"36","41","005","41","033","OR","Josephine County",36,70,1671,"oregon"
"37","41","005","06","071","CA","San Bernardino County",35,80,1706,"LA"
"38","41","005","17","031","IL","Cook County",33,59,3450,"IL"
"39","41","005","53","067","WA","Thurston County",33,49,1479,"puget_sound"
"40","41","005","04","019","AZ","Pima County",32,62,1615,"AZ"
"41","41","005","32","031","NV","Washoe County",32,53,1726,"NV"
"42","41","005","32","031","NV","Washoe County",32,53,1726,"NV"
"43","41","005","49","049","UT","Utah County",31,73,958,"UT"
"44","41","005","02","020","AK","Anchorage Municipality",30,64,2963,"AK"
"45","41","005","41","011","OR","Coos County",29,56,1166,"oregon"
"46","41","005","53","015","WA","Cowlitz County",29,54,2516,"WA"
"47","41","005","06","075","CA","San Francisco County",28,50,3785,"bay_area"
"48","41","005","41","035","OR","Klamath County",28,52,1239,"oregon"
"49","41","005","06","029","CA","Kern County",25,43,1271,"CA"
"50","41","005","06","111","CA","Ventura County",24,52,2229,"LA"
"51","41","005","08","041","CO","El Paso County",24,57,1457,"CO"
"52","41","005","41","027","OR","Hood River County",24,43,993,"oregon"
"53","41","005","48","201","TX","Harris County",24,52,2096,"TX"
"54","41","005","06","081","CA","San Mateo County",22,45,3488,"bay_area"
"55","41","005","06","019","CA","Fresno County",21,38,966,"CA"
"56","41","005","06","083","CA","Santa Barbara County",20,34,1040,"CA"
"57","41","005","06","097","CA","Sonoma County",20,33,1485,"bay_area"
"58","41","005","08","035","CO","Douglas County",20,59,2313,"CO"
"59","41","005","53","035","WA","Kitsap County",20,35,1040,"puget_sound"
"60","41","005","53","073","WA","Whatcom County",20,35,986,"WA"
"61","41","051","41","067","OR","Washington County",3950,6084,220624,"pdx"
"62","41","051","41","005","OR","Clackamas County",3682,6289,173929,"pdx"
"63","41","051","53","011","WA","Clark County",1543,2671,73983,"pdx"
"64","41","051","53","033","WA","King County",732,1013,48972,"puget_sound"
"65","41","051","06","037","CA","Los Angeles County",690,989,38821,"LA"
"66","41","051","41","039","OR","Lane County",633,811,20088,"oregon"
"67","41","051","41","047","OR","Marion County",530,831,19418,"oregon"
"68","41","051","04","013","AZ","Maricopa County",371,601,19243,"AZ"
"69","41","051","06","075","CA","San Francisco County",339,471,29376,"bay_area"
"70","41","051","17","031","IL","Cook County",294,383,18059,"IL"
"71","41","051","06","073","CA","San Diego County",287,413,13266,"CA"
"72","41","051","41","003","OR","Benton County",258,316,8209,"oregon"
"73","41","051","41","017","OR","Deschutes County",232,343,8505,"oregon"
"74","41","051","06","001","CA","Alameda County",225,324,13029,"bay_area"
"75","41","051","06","059","CA","Orange County",223,354,13179,"LA"
"76","41","051","36","047","NY","Kings County",220,298,15771,"NY"
"77","41","051","41","029","OR","Jackson County",212,295,8123,"oregon"
"78","41","051","41","009","OR","Columbia County",193,342,9167,"oregon"
"79","41","051","41","071","OR","Yamhill County",189,326,9944,"oregon"
"80","41","051","06","085","CA","Santa Clara County",183,296,18085,"bay_area"
"81","41","051","36","061","NY","New York County",168,210,14859,"NY"
"82","41","051","49","035","UT","Salt Lake County",156,247,7293,"UT"
"83","41","051","06","067","CA","Sacramento County",154,231,6714,"CA"
"84","41","051","32","003","NV","Clark County",152,250,5857,"NV"
"85","41","051","53","053","WA","Pierce County",148,264,5512,"puget_sound"
"86","41","051","16","001","ID","Ada County",144,201,6890,"ID"
"87","41","051","08","031","CO","Denver County",129,161,6233,"CO"
"88","41","051","15","003","HI","Honolulu County",123,218,4577,"HI"
"89","41","051","48","453","TX","Travis County",122,190,8901,"TX"
"90","41","051","06","065","CA","Riverside County",115,182,5198,"LA"
"91","41","051","11","001","DC","District of Columbia",112,158,9334,"DC"
"92","41","051","41","053","OR","Polk County",109,149,4443,"oregon"
"93","41","051","53","067","WA","Thurston County",104,153,4050,"puget_sound"
"94","41","051","41","043","OR","Linn County",103,154,4175,"oregon"
"95","41","051","53","063","WA","Spokane County",103,175,5845,"WA"
"96","41","051","41","007","OR","Clatsop County",100,152,4207,"oregon"
"97","41","051","06","013","CA","Contra Costa County",99,161,8608,"bay_area"
"98","41","051","41","041","OR","Lincoln County",97,127,3288,"oregon"
"99","41","051","06","081","CA","San Mateo County",96,142,11088,"bay_area"
"100","41","051","04","019","AZ","Pima County",95,123,4376,"AZ"
"101","41","051","53","061","WA","Snohomish County",94,157,4033,"puget_sound"
"102","41","051","02","020","AK","Anchorage Municipality",93,130,5236,"AK"
"103","41","051","25","017","MA","Middlesex County",91,136,6229,"MA"
"104","41","051","27","053","MN","Hennepin County",91,114,4899,"MN"
"105","41","051","25","025","MA","Suffolk County",86,103,5069,"MA"
"106","41","051","53","015","WA","Cowlitz County",86,147,3495,"WA"
"107","41","051","06","097","CA","Sonoma County",85,113,3081,"bay_area"
"108","41","051","06","071","CA","San Bernardino County",82,137,2529,"LA"
"109","41","051","48","201","TX","Harris County",80,124,5126,"TX"
