"","county","total_pop","job","n_county","prop_county","job_class","job_type","n_county_type","prop_county_type","n_county_class","prop_county_class","year"
"1","Clackamas ",204222," Management occupations:",25551,0.125113846696242,"white_collar","business",42326,0.207254850114092,91580,0.448433567392348,"2016"
"2","Multnomah ",432900," Management occupations:",52318,0.120854700854701,"white_collar","business",89298,0.206278586278586,225676,0.521312081312081,"2016"
"3","Washington ",303993," Management occupations:",38865,0.12784833861306,"white_collar","business",68428,0.225097288424405,153614,0.505320846203695,"2016"
"4","Clackamas ",204222," Business and financial operations occupations:",10382,0.0508368344252823,"white_collar","business",42326,0.207254850114092,91580,0.448433567392348,"2016"
"5","Multnomah ",432900," Business and financial operations occupations:",22656,0.0523354123354123,"white_collar","business",89298,0.206278586278586,225676,0.521312081312081,"2016"
"6","Washington ",303993," Business and financial operations occupations:",17184,0.056527617412243,"white_collar","business",68428,0.225097288424405,153614,0.505320846203695,"2016"
"7","Clackamas ",204222," Computer and mathematical occupations:",5250,0.0257073185063313,"white_collar","tech",9408,0.0460675147633458,91580,0.448433567392348,"2016"
"8","Multnomah ",432900," Computer and mathematical occupations:",18653,0.0430884730884731,"white_collar","tech",30987,0.0715800415800416,225676,0.521312081312081,"2016"
"9","Washington ",303993," Computer and mathematical occupations:",16221,0.0533597813107539,"white_collar","tech",31678,0.104206346856671,153614,0.505320846203695,"2016"
"10","Clackamas ",204222," Architecture and engineering occupations:",4158,0.0203601962570144,"white_collar","tech",9408,0.0460675147633458,91580,0.448433567392348,"2016"
"11","Multnomah ",432900," Architecture and engineering occupations:",12334,0.0284915684915685,"white_collar","tech",30987,0.0715800415800416,225676,0.521312081312081,"2016"
"12","Washington ",303993," Architecture and engineering occupations:",15457,0.0508465655459172,"white_collar","tech",31678,0.104206346856671,153614,0.505320846203695,"2016"
"13","Clackamas ",204222," Life, physical, and social science occupations:",1970,0.00964636522999481,"white_collar","production",35740,0.175005631126911,91580,0.448433567392348,"2016"
"14","Multnomah ",432900," Life, physical, and social science occupations:",6664,0.0153938553938554,"white_collar","production",93521,0.216033726033726,225676,0.521312081312081,"2016"
"15","Washington ",303993," Life, physical, and social science occupations:",3551,0.0116811900274019,"white_collar","production",49975,0.164395232784965,153614,0.505320846203695,"2016"
"16","Clackamas ",204222," Community and social service occupations:",3432,0.016805241354996,"white_collar","production",35740,0.175005631126911,91580,0.448433567392348,"2016"
"17","Multnomah ",432900," Community and social service occupations:",12481,0.0288311388311388,"white_collar","production",93521,0.216033726033726,225676,0.521312081312081,"2016"
"18","Washington ",303993," Community and social service occupations:",5517,0.0181484442075969,"white_collar","production",49975,0.164395232784965,153614,0.505320846203695,"2016"
"19","Clackamas ",204222," Legal occupations:",1657,0.00811371938380782,"white_collar","production",35740,0.175005631126911,91580,0.448433567392348,"2016"
"20","Multnomah ",432900," Legal occupations:",7858,0.0181519981519982,"white_collar","production",93521,0.216033726033726,225676,0.521312081312081,"2016"
"21","Washington ",303993," Legal occupations:",3173,0.0104377403427053,"white_collar","production",49975,0.164395232784965,153614,0.505320846203695,"2016"
"22","Clackamas ",204222," Education, training, and library occupations:",11417,0.0559048486451019,"white_collar","production",35740,0.175005631126911,91580,0.448433567392348,"2016"
"23","Multnomah ",432900," Education, training, and library occupations:",25197,0.0582051282051282,"white_collar","production",93521,0.216033726033726,225676,0.521312081312081,"2016"
"24","Washington ",303993," Education, training, and library occupations:",12967,0.042655587464185,"white_collar","production",49975,0.164395232784965,153614,0.505320846203695,"2016"
"25","Clackamas ",204222," Arts, design, entertainment, sports, and media occupations:",4310,0.0211044843356739,"white_collar","production",35740,0.175005631126911,91580,0.448433567392348,"2016"
"26","Multnomah ",432900," Arts, design, entertainment, sports, and media occupations:",18939,0.0437491337491338,"white_collar","production",93521,0.216033726033726,225676,0.521312081312081,"2016"
"27","Washington ",303993," Arts, design, entertainment, sports, and media occupations:",7488,0.0246321461349439,"white_collar","production",49975,0.164395232784965,153614,0.505320846203695,"2016"
"28","Clackamas ",204222," Health diagnosing and treating practitioners and other technical occupations:",8768,0.0429336702216216,"white_collar","healthcare",17060,0.0835365435653358,91580,0.448433567392348,"2016"
"29","Multnomah ",432900," Health diagnosing and treating practitioners and other technical occupations:",19734,0.0455855855855856,"white_collar","healthcare",34252,0.0791221991221991,225676,0.521312081312081,"2016"
"30","Washington ",303993," Health diagnosing and treating practitioners and other technical occupations:",11628,0.03825088077686,"white_collar","healthcare",20812,0.0684621027457869,153614,0.505320846203695,"2016"
"31","Clackamas ",204222," Health technologists and technicians",3745,0.018337887201183,"white_collar","healthcare",17060,0.0835365435653358,91580,0.448433567392348,"2016"
"32","Multnomah ",432900," Health technologists and technicians",7641,0.0176507276507277,"white_collar","healthcare",34252,0.0791221991221991,225676,0.521312081312081,"2016"
"33","Washington ",303993," Health technologists and technicians",4723,0.0155365419598478,"white_collar","healthcare",20812,0.0684621027457869,153614,0.505320846203695,"2016"
"34","Clackamas ",204222," Nursing, psychiatric, and home health aides",1938,0.0094896730029086,"white_collar","healthcare",17060,0.0835365435653358,91580,0.448433567392348,"2016"
"35","Multnomah ",432900," Nursing, psychiatric, and home health aides",2476,0.00571956571956572,"white_collar","healthcare",34252,0.0791221991221991,225676,0.521312081312081,"2016"
"36","Washington ",303993," Nursing, psychiatric, and home health aides",1528,0.00502643152967338,"white_collar","healthcare",20812,0.0684621027457869,153614,0.505320846203695,"2016"
"37","Clackamas ",204222," Occupational and physical therapist assistants and aides",295,0.001444506468451,"white_collar","healthcare",17060,0.0835365435653358,91580,0.448433567392348,"2016"
"38","Multnomah ",432900," Occupational and physical therapist assistants and aides",611,0.00141141141141141,"white_collar","healthcare",34252,0.0791221991221991,225676,0.521312081312081,"2016"
"39","Washington ",303993," Occupational and physical therapist assistants and aides",173,0.000569092051461711,"white_collar","healthcare",20812,0.0684621027457869,153614,0.505320846203695,"2016"
"40","Clackamas ",204222," Other healthcare support occupations",2314,0.0113308066711716,"white_collar","healthcare",17060,0.0835365435653358,91580,0.448433567392348,"2016"
"41","Multnomah ",432900," Other healthcare support occupations",3790,0.00875490875490875,"white_collar","healthcare",34252,0.0791221991221991,225676,0.521312081312081,"2016"
"42","Washington ",303993," Other healthcare support occupations",2760,0.00907915642794407,"white_collar","healthcare",20812,0.0684621027457869,153614,0.505320846203695,"2016"
