"","job","job_class","job_type","year","population","n_city","job_prop","job_type_n","job_type_prop","job_class_n","job_class_prop"
"1"," Agricultural workers","blue_collar","production","2010",789838,4278,0.00541630055783591,145321,0.18398836217047,363881,0.460703334101423
"2"," Agricultural workers","blue_collar","production","2011",812411,4697,0.00578155637971421,143732,0.176920302654691,387750,0.477283050081794
"3"," Agricultural workers","blue_collar","production","2012",833561,4251,0.0050998067328006,150588,0.180656244713944,387381,0.464730235699607
"4"," Agricultural workers","blue_collar","production","2013",851118,6632,0.00779210403257833,163001,0.191513985134846,388093,0.455980251856969
"5"," Agricultural workers","blue_collar","production","2014",874234,4855,0.0055534330625439,155914,0.178343555615545,404528,0.462722795041145
"6"," Agricultural workers","blue_collar","production","2015",906997,6239,0.006878743810619,159887,0.176281729708037,416263,0.458946391222904
"7"," Agricultural workers","blue_collar","production","2016",941115,6016,0.00639241750476828,179236,0.190450688810613,412764,0.438590395435202
"8"," Air transportation workers","blue_collar","production","2006",810552,1093,0.00134846376296647,144180,0.177878778906227,384410,0.474257049516872
"9"," Air transportation workers","blue_collar","production","2007",822482,431,0.000524023626048959,145910,0.177402058646876,382209,0.464701963082475
"10"," Air transportation workers","blue_collar","production","2008",843988,1200,0.00142182116333408,157833,0.187008583060423,389323,0.46128973397726
"11"," Air transportation workers","blue_collar","production","2009",813979,1078,0.00132435849082102,150974,0.185476529492776,366951,0.450811384568889
"12"," Air transportation workers","blue_collar","transportation","2010",789838,742,0.000939433149582573,38532,0.0487846874928783,363881,0.460703334101423
"13"," Air transportation workers","blue_collar","transportation","2011",812411,1874,0.00230671421238757,42660,0.0525103672894631,387750,0.477283050081794
"14"," Air transportation workers","blue_collar","transportation","2012",833561,1051,0.00126085553426804,43211,0.0518390375749345,387381,0.464730235699607
"15"," Air transportation workers","blue_collar","transportation","2013",851118,842,0.000989287031880421,42093,0.049456127117509,388093,0.455980251856969
"16"," Air transportation workers","blue_collar","transportation","2014",874234,1292,0.00147786519398696,51255,0.0586284678930355,404528,0.462722795041145
"17"," Air transportation workers","blue_collar","transportation","2015",906997,1142,0.0012591000852263,44153,0.0486804256243405,416263,0.458946391222904
"18"," Air transportation workers","blue_collar","transportation","2016",941115,1398,0.0014854720198913,47531,0.0505049861069051,412764,0.438590395435202
"19"," Architecture and engineering occupations:","white_collar","tech","2006",810552,24996,0.0308382435673467,50722,0.0625771079461898,386878,0.477301888096014
"20"," Architecture and engineering occupations:","white_collar","tech","2007",822482,25198,0.0306365367266396,52171,0.0634311753935041,405007,0.492420502819515
"21"," Architecture and engineering occupations:","white_collar","tech","2008",843988,28261,0.0334850732474869,57266,0.067851675616241,420094,0.497748783158054
"22"," Architecture and engineering occupations:","white_collar","tech","2009",813979,28734,0.0353006650048711,58891,0.0723495323589429,414869,0.509680225165514
"23"," Architecture and engineering occupations:","white_collar","tech","2010",789838,22795,0.0288603485778096,48987,0.0620215791086273,372406,0.471496686662328
"24"," Architecture and engineering occupations:","white_collar","tech","2011",812411,25159,0.0309683152985373,53808,0.0662324857738263,375098,0.461709651888022
"25"," Architecture and engineering occupations:","white_collar","tech","2012",833561,26762,0.0321056287422276,56033,0.0672212351585547,392237,0.47055584414338
"26"," Architecture and engineering occupations:","white_collar","tech","2013",851118,27073,0.0318087503730388,60943,0.0716034674392975,409658,0.481317514140225
"27"," Architecture and engineering occupations:","white_collar","tech","2014",874234,27734,0.0317237718963115,63159,0.0722449595874789,417248,0.477272675279159
"28"," Architecture and engineering occupations:","white_collar","tech","2015",906997,30489,0.0336153261807922,67204,0.0740950631589741,440264,0.485408441262761
"29"," Architecture and engineering occupations:","white_collar","tech","2016",941115,31949,0.0339480297306918,72073,0.0765825642987308,470870,0.500332052937208
"30"," Arts, design, entertainment, sports, and media occupations:","white_collar","production","2006",810552,21823,0.0269236273551851,144180,0.177878778906227,386878,0.477301888096014
"31"," Arts, design, entertainment, sports, and media occupations:","white_collar","production","2007",822482,20980,0.025508157017418,145910,0.177402058646876,405007,0.492420502819515
"32"," Arts, design, entertainment, sports, and media occupations:","white_collar","production","2008",843988,23041,0.0273001511869837,157833,0.187008583060423,420094,0.497748783158054
"33"," Arts, design, entertainment, sports, and media occupations:","white_collar","production","2009",813979,24466,0.030057286490192,150974,0.185476529492776,414869,0.509680225165514
"34"," Arts, design, entertainment, sports, and media occupations:","white_collar","production","2010",789838,22669,0.0287008221939182,145321,0.18398836217047,372406,0.471496686662328
"35"," Arts, design, entertainment, sports, and media occupations:","white_collar","production","2011",812411,21890,0.0269444899195112,143732,0.176920302654691,375098,0.461709651888022
"36"," Arts, design, entertainment, sports, and media occupations:","white_collar","production","2012",833561,26048,0.031249062756055,150588,0.180656244713944,392237,0.47055584414338
"37"," Arts, design, entertainment, sports, and media occupations:","white_collar","production","2013",851118,24740,0.0290676498440874,163001,0.191513985134846,409658,0.481317514140225
"38"," Arts, design, entertainment, sports, and media occupations:","white_collar","production","2014",874234,27858,0.031865610351462,155914,0.178343555615545,417248,0.477272675279159
"39"," Arts, design, entertainment, sports, and media occupations:","white_collar","production","2015",906997,23896,0.0263462833945427,159887,0.176281729708037,440264,0.485408441262761
"40"," Arts, design, entertainment, sports, and media occupations:","white_collar","production","2016",941115,30737,0.0326601956190264,179236,0.190450688810613,470870,0.500332052937208
"41"," Assemblers and fabricators","blue_collar","construction\contracting","2006",810552,9829,0.012126304049586,63069,0.0778099369318686,384410,0.474257049516872
"42"," Assemblers and fabricators","blue_collar","construction\contracting","2007",822482,7843,0.00953577099559626,56199,0.0683285470077157,382209,0.464701963082475
