"","county","total_pop","job","n_county","prop_county","job_class","job_type","n_county_type","prop_county_type","n_county_class","prop_county_class","year"
"1","Alameda ",848374," Management occupations:",103963,0.122543830904766,"white_collar","business",180477,0.21273282773871,450794,0.531362347266654,2016
"2","Contra Costa ",549609," Management occupations:",72291,0.131531688891557,"white_collar","business",124749,0.226977724163906,265732,0.483492810343353,2016
"3","Marin ",131149," Management occupations:",25256,0.192574857604709,"white_collar","business",38204,0.291302259262366,77389,0.590084560309267,2016
"4","Napa ",73805," Management occupations:",8816,0.119449901768173,"white_collar","business",14666,0.198712824334395,30268,0.410107716279385,2016
"5","San Francisco ",511365," Management occupations:",79479,0.155425185532839,"white_collar","business",141073,0.27587535322128,309357,0.604963186764835,2016
"6","San Mateo ",414293," Management occupations:",59636,0.14394643404547,"white_collar","business",99225,0.239504408715571,215743,0.520749807503385,2016
"7","Santa Clara ",979335," Management occupations:",126966,0.129645116328937,"white_collar","business",212887,0.217379139926583,554407,0.566105571637897,2016
"8","Solano ",204873," Management occupations:",22290,0.108799109692346,"white_collar","business",38352,0.187198898830007,80535,0.393097187037823,2016
"9","Sonoma ",254696," Management occupations:",28749,0.112875742061124,"white_collar","business",49910,0.195959104186952,108263,0.42506753148852,2016
"10","Alameda ",848374," Business and financial operations occupations:",52393,0.0617569609629715,"white_collar","business",180477,0.21273282773871,450794,0.531362347266654,2016
"11","Contra Costa ",549609," Business and financial operations occupations:",36528,0.066461793747919,"white_collar","business",124749,0.226977724163906,265732,0.483492810343353,2016
"12","Marin ",131149," Business and financial operations occupations:",9580,0.0730466873556032,"white_collar","business",38204,0.291302259262366,77389,0.590084560309267,2016
"13","Napa ",73805," Business and financial operations occupations:",2891,0.0391707878869995,"white_collar","business",14666,0.198712824334395,30268,0.410107716279385,2016
"14","San Francisco ",511365," Business and financial operations occupations:",50012,0.0978009836418214,"white_collar","business",141073,0.27587535322128,309357,0.604963186764835,2016
"15","San Mateo ",414293," Business and financial operations occupations:",27000,0.0651712676777064,"white_collar","business",99225,0.239504408715571,215743,0.520749807503385,2016
"16","Santa Clara ",979335," Business and financial operations occupations:",61830,0.0631346781234205,"white_collar","business",212887,0.217379139926583,554407,0.566105571637897,2016
"17","Solano ",204873," Business and financial operations occupations:",7686,0.037515924499568,"white_collar","business",38352,0.187198898830007,80535,0.393097187037823,2016
"18","Sonoma ",254696," Business and financial operations occupations:",12338,0.0484420642648491,"white_collar","business",49910,0.195959104186952,108263,0.42506753148852,2016
"19","Alameda ",848374," Computer and mathematical occupations:",67639,0.0797278087258685,"white_collar","tech",94181,0.111013538840181,450794,0.531362347266654,2016
"20","Contra Costa ",549609," Computer and mathematical occupations:",23720,0.043157954109194,"white_collar","tech",36086,0.0656575856654458,265732,0.483492810343353,2016
"21","Marin ",131149," Computer and mathematical occupations:",4433,0.0338012489611053,"white_collar","tech",8353,0.0636909164385546,77389,0.590084560309267,2016
"22","Napa ",73805," Computer and mathematical occupations:",766,0.0103787006300386,"white_collar","tech",1685,0.0228304315425784,30268,0.410107716279385,2016
"23","San Francisco ",511365," Computer and mathematical occupations:",39041,0.0763466408534022,"white_collar","tech",53222,0.104078300235644,309357,0.604963186764835,2016
"24","San Mateo ",414293," Computer and mathematical occupations:",25416,0.0613478866406143,"white_collar","tech",36875,0.0890070553931638,215743,0.520749807503385,2016
"25","Santa Clara ",979335," Computer and mathematical occupations:",117291,0.119765963638591,"white_collar","tech",174517,0.178199492512777,554407,0.566105571637897,2016
"26","Solano ",204873," Computer and mathematical occupations:",3145,0.0153509735299429,"white_collar","tech",6338,0.0309362385477833,80535,0.393097187037823,2016
"27","Sonoma ",254696," Computer and mathematical occupations:",5548,0.0217828312969187,"white_collar","tech",9482,0.0372286961711217,108263,0.42506753148852,2016
"28","Alameda ",848374," Architecture and engineering occupations:",26542,0.0312857301143128,"white_collar","tech",94181,0.111013538840181,450794,0.531362347266654,2016
"29","Contra Costa ",549609," Architecture and engineering occupations:",12366,0.0224996315562518,"white_collar","tech",36086,0.0656575856654458,265732,0.483492810343353,2016
"30","Marin ",131149," Architecture and engineering occupations:",3920,0.0298896674774493,"white_collar","tech",8353,0.0636909164385546,77389,0.590084560309267,2016
"31","Napa ",73805," Architecture and engineering occupations:",919,0.0124517309125398,"white_collar","tech",1685,0.0228304315425784,30268,0.410107716279385,2016
"32","San Francisco ",511365," Architecture and engineering occupations:",14181,0.0277316593822416,"white_collar","tech",53222,0.104078300235644,309357,0.604963186764835,2016
"33","San Mateo ",414293," Architecture and engineering occupations:",11459,0.0276591687525495,"white_collar","tech",36875,0.0890070553931638,215743,0.520749807503385,2016
"34","Santa Clara ",979335," Architecture and engineering occupations:",57226,0.058433528874185,"white_collar","tech",174517,0.178199492512777,554407,0.566105571637897,2016
"35","Solano ",204873," Architecture and engineering occupations:",3193,0.0155852650178403,"white_collar","tech",6338,0.0309362385477833,80535,0.393097187037823,2016
"36","Sonoma ",254696," Architecture and engineering occupations:",3934,0.015445864874203,"white_collar","tech",9482,0.0372286961711217,108263,0.42506753148852,2016
"37","Alameda ",848374," Life, physical, and social science occupations:",17814,0.0209978146430702,"white_collar","production",156441,0.184400983528491,450794,0.531362347266654,2016
"38","Contra Costa ",549609," Life, physical, and social science occupations:",7417,0.0134950482979718,"white_collar","production",80221,0.145960128018282,265732,0.483492810343353,2016
"39","Marin ",131149," Life, physical, and social science occupations:",2828,0.0215632601087313,"white_collar","production",23374,0.178224767249464,77389,0.590084560309267,2016
"40","Napa ",73805," Life, physical, and social science occupations:",639,0.0086579500033873,"white_collar","production",13918,0.188578009619944,30268,0.410107716279385,2016
"41","San Francisco ",511365," Life, physical, and social science occupations:",9829,0.0192211042992774,"white_collar","production",88074,0.172233140711625,309357,0.604963186764835,2016
"42","San Mateo ",414293," Life, physical, and social science occupations:",7898,0.0190638026710565,"white_collar","production",61002,0.147243617439831,215743,0.520749807503385,2016
"43","Santa Clara ",979335," Life, physical, and social science occupations:",14817,0.0151296543062384,"white_collar","production",149183,0.152330918429342,554407,0.566105571637897,2016
"44","Solano ",204873," Life, physical, and social science occupations:",2117,0.0103332308308074,"white_collar","production",30296,0.147876977444563,80535,0.393097187037823,2016
"45","Sonoma ",254696," Life, physical, and social science occupations:",2424,0.00951722838207118,"white_collar","production",45025,0.176779376197506,108263,0.42506753148852,2016
"46","Alameda ",848374," Community and social service occupations:",14942,0.0176125152350261,"white_collar","production",156441,0.184400983528491,450794,0.531362347266654,2016
"47","Contra Costa ",549609," Community and social service occupations:",6988,0.0127144933943949,"white_collar","production",80221,0.145960128018282,265732,0.483492810343353,2016
"48","Marin ",131149," Community and social service occupations:",1481,0.0112924993709445,"white_collar","production",23374,0.178224767249464,77389,0.590084560309267,2016
"49","Napa ",73805," Community and social service occupations:",981,0.0132917823995664,"white_collar","production",13918,0.188578009619944,30268,0.410107716279385,2016
"50","San Francisco ",511365," Community and social service occupations:",6561,0.0128303657856912,"white_collar","production",88074,0.172233140711625,309357,0.604963186764835,2016
"51","San Mateo ",414293," Community and social service occupations:",4701,0.0113470418278851,"white_collar","production",61002,0.147243617439831,215743,0.520749807503385,2016
"52","Santa Clara ",979335," Community and social service occupations:",10882,0.0111116216616377,"white_collar","production",149183,0.152330918429342,554407,0.566105571637897,2016
"53","Solano ",204873," Community and social service occupations:",3149,0.0153704978206011,"white_collar","production",30296,0.147876977444563,80535,0.393097187037823,2016
"54","Sonoma ",254696," Community and social service occupations:",4594,0.0180371894336778,"white_collar","production",45025,0.176779376197506,108263,0.42506753148852,2016
"55","Alameda ",848374," Legal occupations:",13390,0.0157831333822111,"white_collar","production",156441,0.184400983528491,450794,0.531362347266654,2016
"56","Contra Costa ",549609," Legal occupations:",7953,0.014470287058618,"white_collar","production",80221,0.145960128018282,265732,0.483492810343353,2016
"57","Marin ",131149," Legal occupations:",3870,0.0295084217188084,"white_collar","production",23374,0.178224767249464,77389,0.590084560309267,2016
"58","Napa ",73805," Legal occupations:",744,0.0100806178443195,"white_collar","production",13918,0.188578009619944,30268,0.410107716279385,2016
"59","San Francisco ",511365," Legal occupations:",13766,0.0269201059908285,"white_collar","production",88074,0.172233140711625,309357,0.604963186764835,2016
"60","San Mateo ",414293," Legal occupations:",6743,0.0162759206648435,"white_collar","production",61002,0.147243617439831,215743,0.520749807503385,2016
"61","Santa Clara ",979335," Legal occupations:",10703,0.0109288445731032,"white_collar","production",149183,0.152330918429342,554407,0.566105571637897,2016
"62","Solano ",204873," Legal occupations:",1699,0.00829294245703436,"white_collar","production",30296,0.147876977444563,80535,0.393097187037823,2016
"63","Sonoma ",254696," Legal occupations:",2091,0.00820978735433615,"white_collar","production",45025,0.176779376197506,108263,0.42506753148852,2016
"64","Alameda ",848374," Education, training, and library occupations:",52554,0.0619467357556927,"white_collar","production",156441,0.184400983528491,450794,0.531362347266654,2016
"65","Contra Costa ",549609," Education, training, and library occupations:",29794,0.0542094470796512,"white_collar","production",80221,0.145960128018282,265732,0.483492810343353,2016
"66","Marin ",131149," Education, training, and library occupations:",6474,0.0493637008288283,"white_collar","production",23374,0.178224767249464,77389,0.590084560309267,2016
"67","Napa ",73805," Education, training, and library occupations:",3336,0.0452001896890455,"white_collar","production",13918,0.188578009619944,30268,0.410107716279385,2016
"68","San Francisco ",511365," Education, training, and library occupations:",21194,0.041445933921954,"white_collar","production",88074,0.172233140711625,309357,0.604963186764835,2016
"69","San Mateo ",414293," Education, training, and library occupations:",20055,0.0484077693806074,"white_collar","production",61002,0.147243617439831,215743,0.520749807503385,2016
"70","Santa Clara ",979335," Education, training, and library occupations:",49128,0.0501646525448391,"white_collar","production",149183,0.152330918429342,554407,0.566105571637897,2016
"71","Solano ",204873," Education, training, and library occupations:",9814,0.0479028471296852,"white_collar","production",30296,0.147876977444563,80535,0.393097187037823,2016
"72","Sonoma ",254696," Education, training, and library occupations:",15138,0.0594355623959544,"white_collar","production",45025,0.176779376197506,108263,0.42506753148852,2016
"73","Alameda ",848374," Arts, design, entertainment, sports, and media occupations:",26299,0.0309992998371001,"white_collar","production",156441,0.184400983528491,450794,0.531362347266654,2016
"74","Contra Costa ",549609," Arts, design, entertainment, sports, and media occupations:",12651,0.02301818201667,"white_collar","production",80221,0.145960128018282,265732,0.483492810343353,2016
